TRAMO_ID,CODIGO_ESTACION,NOMBRE_ESTACION,NUCLEO_CERCANIAS,TRAMO_HORARIO,VIAJEROS_SUBIDOS,VIAJEROS_BAJADOS
CAMPANILLAS_1330_1400,54410,CAMPANILLAS,MÁLAGA,13:30 - 14:00,1,12.0
CAMPANILLAS_1400_1430,54410,CAMPANILLAS,MÁLAGA,14:00 - 14:30,4,0.0
CAMPANILLAS_1430_1500,54410,CAMPANILLAS,MÁLAGA,14:30 - 15:00,0,15.0
CAMPANILLAS_1500_1530,54410,CAMPANILLAS,MÁLAGA,15:00 - 15:30,4,5.0
CAMPANILLAS_1530_1600,54410,CAMPANILLAS,MÁLAGA,15:30 - 16:00,1,1.0
CAMPANILLAS_1600_1630,54410,CAMPANILLAS,MÁLAGA,16:00 - 16:30,9,0.0
CAMPANILLAS_1700_1730,54410,CAMPANILLAS,MÁLAGA,17:00 - 17:30,1,0.0
CAMPANILLAS_1730_1800,54410,CAMPANILLAS,MÁLAGA,17:30 - 18:00,0,0.0
CAMPANILLAS_1830_1900,54410,CAMPANILLAS,MÁLAGA,18:30 - 19:00,1,6.0
CAMPANILLAS_1900_1930,54410,CAMPANILLAS,MÁLAGA,19:00 - 19:30,3,6.0
CAMPANILLAS_1930_2000,54410,CAMPANILLAS,MÁLAGA,19:30 - 20:00,7,2.0
CAMPANILLAS_2000_2030,54410,CAMPANILLAS,MÁLAGA,20:00 - 20:30,2,1.0
CAMPANILLAS_2030_2100,54410,CAMPANILLAS,MÁLAGA,20:30 - 21:00,0,1.0
CAMPANILLAS_2100_2130,54410,CAMPANILLAS,MÁLAGA,21:00 - 21:30,0,0.0
CAMPANILLAS_2130_2200,54410,CAMPANILLAS,MÁLAGA,21:30 - 22:00,0,10.0
CAMPANILLAS_2200_2230,54410,CAMPANILLAS,MÁLAGA,22:00 - 22:30,0,0.0
CAMPANILLAS_2300_2330,54410,CAMPANILLAS,MÁLAGA,23:00 - 23:30,0,0.0
LOS_PRADOS_0600_0630,54412,LOS PRADOS,MÁLAGA,06:00 - 06:30,1,2.0
LOS_PRADOS_0700_0730,54412,LOS PRADOS,MÁLAGA,07:00 - 07:30,4,4.0
LOS_PRADOS_0800_0830,54412,LOS PRADOS,MÁLAGA,08:00 - 08:30,1,4.0
LOS_PRADOS_0900_0930,54412,LOS PRADOS,MÁLAGA,09:00 - 09:30,0,4.0
LOS_PRADOS_0930_1000,54412,LOS PRADOS,MÁLAGA,09:30 - 10:00,2,0.0
LOS_PRADOS_1100_1130,54412,LOS PRADOS,MÁLAGA,11:00 - 11:30,0,1.0
LOS_PRADOS_1130_1200,54412,LOS PRADOS,MÁLAGA,11:30 - 12:00,0,0.0
LOS_PRADOS_1230_1300,54412,LOS PRADOS,MÁLAGA,12:30 - 13:00,0,0.0
LOS_PRADOS_1300_1330,54412,LOS PRADOS,MÁLAGA,13:00 - 13:30,0,2.0
LOS_PRADOS_1330_1400,54412,LOS PRADOS,MÁLAGA,13:30 - 14:00,3,1.0
LOS_PRADOS_1400_1430,54412,LOS PRADOS,MÁLAGA,14:00 - 14:30,2,1.0
LOS_PRADOS_1430_1500,54412,LOS PRADOS,MÁLAGA,14:30 - 15:00,7,0.0
LOS_PRADOS_1500_1530,54412,LOS PRADOS,MÁLAGA,15:00 - 15:30,0,4.0
LOS_PRADOS_1530_1600,54412,LOS PRADOS,MÁLAGA,15:30 - 16:00,0,1.0
LOS_PRADOS_1600_1630,54412,LOS PRADOS,MÁLAGA,16:00 - 16:30,0,1.0
LOS_PRADOS_1700_1730,54412,LOS PRADOS,MÁLAGA,17:00 - 17:30,0,0.0
