Id,Name,Type,Phase,Address,Status,Gender,Town,x,y
school_london_West_Lodge_School,West Lodge School,Other Independent School,Not applicable,36 Station Road,Open,Mixed,Bexley,0.101897,51.4291992
school_london_West_London_Free_School,West London Free School,Free Schools,Secondary,241 King Street,Open,Mixed,Hammersmith And Fulham,-0.237856,51.4925003
school_london_West_London_Free_School_Primary,West London Free School Primary,Free Schools,Primary,Cambridge Grove,Open,Mixed,Hammersmith And Fulham,-0.230725,51.4948006
school_london_West_Thornton_Primary_Academy,West Thornton Primary Academy,Academy Converter,Primary,Rosecourt Road,Open,Mixed,Croydon,-0.121943,51.3875008
school_london_West_Thurrock_Academy,West Thurrock Academy,Academy Converter,Primary,Schoolfield Road,Open,Mixed,Thurrock,0.278854,51.4770012
school_london_West_Twyford_Primary_School,West Twyford Primary School,Community School,Primary,Twyford Abbey Road,Open,Mixed,Ealing,-0.283265,51.5341988
school_london_West_Wimbledon_Primary_School,West Wimbledon Primary School,Community School,Primary,Bodnant Gardens,Open,Mixed,Merton,-0.236278,51.4057007
school_london_Westbourne_Primary_School,Westbourne Primary School,Academy Converter,Primary,Anton Crescent,Open,Mixed,Sutton,-0.203761,51.3728981
school_london_Westbridge_Primary_School,Westbridge Primary School,Academy Sponsor Led,Primary,Bolingbroke Walk,Open,Mixed,Wandsworth,-0.172155,51.4774017
school_london_Westbrook_Primary_School,Westbrook Primary School,Academy Converter,Primary,Westbrook Road,Open,Mixed,Hounslow,-0.375095,51.4827995
school_london_Westbrooke_School,Westbrooke School,Community Special School,Not applicable,South Gypsy Road,Open,Mixed,Bexley,0.123356,51.4618988
school_london_Westbury_House_School,Westbury House School,Other Independent School,Not applicable,80 Westbury Road,Open,Mixed,Kingston Upon Thames,-0.26282,51.3973999
school_london_Westfield_Academy,Westfield Academy,Academy Converter,Secondary,Tolpits Lane,Open,Mixed,Watford,-0.416301,51.6472015
school_london_Westgate_Primary_School,Westgate Primary School,Community School,Primary,Summerhill Road,Closed,Mixed,Dartford,0.211245,51.4431
school_london_Westminster_Abbey_Choir_School,Westminster Abbey Choir School,Other Independent School,Not applicable,Dean's Yard,Open,Boys,Westminster,-0.129634,51.4986992
school_london_Westminster_Academy,Westminster Academy,Academy Sponsor Led,Secondary,The Naim Dangoor Centre,Open,Mixed,Westminster,-0.192409,51.5209007
school_london_Westminster_Cathedral_Choir_School,Westminster Cathedral Choir School,Other Independent School,Not applicable,Ambrosden Avenue,Open,Boys,Westminster,-0.139765,51.4962006
school_london_Westminster_Cathedral_Rc_Primary_School,Westminster Cathedral Rc Primary School,Voluntary Aided School,Primary,Bessborough Place,Open,Mixed,Westminster,-0.132203,51.4887009
school_london_Westminster_City_School,Westminster City School,Academy Converter,Secondary,55 Palace Street,Open,Boys,Westminster,-0.139101,51.4980011
school_london_Westminster_School,Westminster School,Other Independent School,Not applicable,Little Dean's Yard,Open,Mixed,Westminster,-0.127925,51.4981995
school_london_Westminster_Tutors,Westminster Tutors,Other Independent School,Not applicable,84-86 Old Brompton Road,Open,Mixed,Kensington And Chelsea,-0.177549,51.4926987
school_london_Westminster_Under_School,Westminster Under School,Other Independent School,Not applicable,27 Vincent Square,Open,Boys,Westminster,-0.134139,51.4917984
school_london_Weston_Green_Preparatory_School,Weston Green Preparatory School,Other Independent School,Not applicable,Weston Green Road,Open,Mixed,Elmbridge,-0.346275,51.3839989
school_london_Weston_Park_Primary_School,Weston Park Primary School,Community School,Primary,Denton Road,Open,Mixed,Haringey,-0.112678,51.5806007
school_london_Westward_School,Westward School,Other Independent School,Not applicable,47 Hersham Road,Open,Mixed,Elmbridge,-0.41196,51.3792
school_london_Wetherby_Preparatory_School,Wetherby Preparatory School,Other Independent School,Not applicable,48 Bryanston Square,Open,Boys,Kensington And Chelsea,-0.196739,51.513401
school_london_Wetherby_School,Wetherby School,Other Independent School,Not applicable,11 Pembridge Square,Open,Boys,Kensington And Chelsea,-0.195687,51.5112991
school_london_Wetherby_Senior_School,Wetherby Senior School,Other Independent School,Not applicable,100 Marylebone Lane,Open,Boys,Westminster,-0.150409,51.517601
school_london_Whitchurch_Primary_School_&_Nursery,Whitchurch Primary School & Nursery,Community School,Primary,Wemborough Road,Open,Mixed,Harrow,-0.303269,51.6077003
school_london_White_Bridge_Primary_School,White Bridge Primary School,Community School,Primary,Greensted Road,Open,Mixed,Epping Forest,0.0583824,51.6351013
school_london_Whitefield_School,Whitefield School,Academy Converter,Secondary,Claremont Road,Open,Mixed,Barnet,-0.21902,51.5736008
school_london_Whitefield_Schools,Whitefield Schools,Academy Special Converter,Not applicable,Macdonald Road,Open,Mixed,Waltham Forest,-0.0020551,51.5945015
school_london_Whitefriars_School,Whitefriars School,Academy Converter,All Through,Whitefriars Avenue,Open,Mixed,Harrow,-0.340655,51.5979004
school_london_Whitehall_Infant_School,Whitehall Infant School,Community School,Primary,Cowley Road,Open,Mixed,Hillingdon,-0.481454,51.5396004
school_london_Whitehall_Junior_School,Whitehall Junior School,Community School,Primary,Cowley Road,Open,Mixed,Hillingdon,-0.481454,51.5396004
school_london_Whitehall_Park_School,Whitehall Park School,Free Schools,Primary,Ashmount Road,Open,Mixed,Islington,-0.133418,51.5724983
school_london_Whitehall_Primary_School,Whitehall Primary School,Community School,Primary,Normanton Park,Open,Mixed,Waltham Forest,0.0113294,51.6251984
school_london_Whiteheath_Infant_And_Nursery_School,Whiteheath Infant And Nursery School,Community School,Primary,Ladygate Lane,Open,Mixed,Hillingdon,-0.441069,51.5811996
school_london_Whiteheath_Junior_School,Whiteheath Junior School,Community School,Primary,Whiteheath Avenue,Open,Mixed,Hillingdon,-0.439176,51.5803986
school_london_Whitehorse_Manor_Infant_School,Whitehorse Manor Infant School,Academy Converter,Primary,Whitehorse Road,Open,Mixed,Croydon,-0.0919139,51.3961983
school_london_Whitehorse_Manor_Junior_School,Whitehorse Manor Junior School,Academy Converter,Primary,Whitehorse Road,Open,Mixed,Croydon,-0.0919139,51.3961983
school_london_Whitgift_School,Whitgift School,Other Independent School,Not applicable,Haling Park,Open,Boys,Croydon,-0.101875,51.3600998
school_london_Whitings_Hill_Primary_School,Whitings Hill Primary School,Community School,Primary,Whitings Road,Open,Mixed,Barnet,-0.2182,51.6455002
school_london_Whitmore_High_School,Whitmore High School,Community School,Secondary,Porlock Avenue,Open,Mixed,Harrow,-0.353187,51.5732002
school_london_Whitmore_Primary_School,Whitmore Primary School,Community School,Primary,Bridport Place,Open,Mixed,Hackney,-0.0858696,51.5349998
school_london_Whittingham_Primary_Academy,Whittingham Primary Academy,Academy Converter,Primary,Higham Hill Road,Open,Mixed,Waltham Forest,-0.0350217,51.5978012
school_london_Whybridge_Infant_School,Whybridge Infant School,Community School,Primary,Ford Lane,Open,Mixed,Havering,0.19052,51.5345001
school_london_Whybridge_Junior_School,Whybridge Junior School,Community School,Primary,Blacksmith's Lane,Open,Mixed,Havering,0.190332,51.5331993
school_london_Whyteleafe_Primary_School,Whyteleafe Primary School,Academy Converter,Primary,Whyteleafe Hill,Open,Mixed,Tandridge,-0.0815829,51.3077011
school_london_Wickham_Common_Primary_School,Wickham Common Primary School,Academy Converter,Primary,Gates Green Road,Open,Mixed,Bromley,0.0114683,51.3652992
school_london_Wickham_Court_School,Wickham Court School,Other Independent School,Not applicable,Layhams Road,Open,Mixed,Bromley,-0.004707,51.3650017
school_london_Wilberforce_Primary,Wilberforce Primary,Academy Sponsor Led,Primary,Beethoven Street,Open,Mixed,Westminster,-0.208209,51.5317993
school_london_Wilbury_Primary_School,Wilbury Primary School,Community School,Primary,Wilbury Way,Open,Mixed,Enfield,-0.0826947,51.6123009
school_london_William_Bellamy_Primary_School,William Bellamy Primary School,Community School,Primary,Frizlands Lane,Open,Mixed,Barking And Dagenham,0.154313,51.5592003
school_london_William_Byrd_School,William Byrd School,Community School,Primary,Victoria Lane,Open,Mixed,Hillingdon,-0.438184,51.4897003
school_london_William_Davies_Primary_School,William Davies Primary School,Community School,Primary,Stafford Road,Open,Mixed,Newham,0.0414627,51.5427017
school_london_William_Davis_Primary_School,William Davis Primary School,Community School,Primary,Wood Close,Open,Mixed,Tower Hamlets,-0.067209,51.5242004
school_london_William_Edwards_School,William Edwards School,Academy Converter,Secondary,Stifford Clays Road,Open,Mixed,Thurrock,0.332835,51.5036011
school_london_William_Ellis_School,William Ellis School,Voluntary Aided School,Secondary,Highgate Road,Open,Boys,Camden,-0.15112,51.5587997
school_london_William_Ford_Cofe_Primary_School,William Ford Cofe Primary School,Voluntary Aided School,Primary,Ford Road,Open,Mixed,Barking And Dagenham,0.152568,51.5387001
school_london_William_Morris_Primary_School,William Morris Primary School,Community School,Primary,Recreation Way,Open,Mixed,Merton,-0.133394,51.4020004
school_london_William_Patten_Primary_School,William Patten Primary School,Community School,Primary,Stoke Newington Church Street,Open,Mixed,Hackney,-0.0749634,51.5617981
school_london_William_Perkin_Church_Of_England_High_School,William Perkin Church Of England High School,Free Schools,Secondary,Oldfield Lane North,Open,Mixed,Ealing,-0.3492,51.5373993
school_london_William_Torbitt_Primary_School,William Torbitt Primary School,Community School,Primary,Eastern Avenue,Open,Mixed,Redbridge,0.0989818,51.5784988
school_london_William_Tyndale_Primary_School,William Tyndale Primary School,Academy Converter,Primary,Upper Street,Open,Mixed,Islington,-0.101278,51.542099
school_london_Willington_School,Willington School,Other Independent School,Not applicable,Worcester Road,Open,Boys,Merton,-0.205133,51.4244995
school_london_Willow_Bank_Primary_School,Willow Bank Primary School,Academy Sponsor Led,Primary,Seacourt Road,Open,Mixed,Bexley,0.125248,51.4973984
