OID_,DISTRITO,BARRIO,LATITUD,LONGITUD,Nº_EQUIPOS,CARACTERÍSTICAS_EQUIPO,POTENCIA_MAX,OPERADOR,GESTIÓN
3831,SanBlas-Canillejas,Simancas,13.988601498154988,-89.64337070995305,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3832,SanBlas-Canillejas,Arcos,40.41568966513148,-3.610518957029991,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GALP,Convenio cesión
3833,SanBlas-Canillejas,Rosas,40.41568966513148,-3.610518957029991,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,Cerdeira,Convenio cesión
3834,VillaDeVallecas,EnsancheDeVallecas,40.37067176003822,-3.5958235007572568,1,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,Convenio cesión
3836,SanBlas-Canillejas,Rejas,40.443436500000004,-3.5913736,1,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,NATURGY,Convenio cesión
3838,SanBlas-Canillejas,Rejas,40.4442757950714,-3.5793883223743195,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,IBERDROLA,Convenio cesión
3839,VillaDeVallecas,CascoHistoricoDeVallecas,40.36572133138983,-3.652522724703893,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,NATURGY,Convenio cesión
3840,Centro,Justicia,40.4259414,-3.6925629,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,Convenio vía pública
3841,Villaverde,SanCristobal,40.34100933888266,-3.6870498036603556,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,TOTALENERGIES,Concesión demanial
3843,Salamanca,Guindalera,40.43501535054218,-3.6610926328467954,2,1 equipo de 150 kW (DC-CCS Combo 2 (≥ 250 A) y CHAdeMO (≥ 100 A)) y 1 equipo de 50 kW (DC-CCS Combo 2 (50kW) y CHAdeMO (50kW). AC- Tipo 2 (22kW)),150 kW,REPSOL,Convenio vía pública
3858,Tetuan,Almenara,40.46762976449039,-3.69074855660997,2,50 kW 2 conectores CC (CCS/Chademo),50 kW,IBERDROLA,Iniciativa privada
3859,Chamartin,Prosperidad,40.4382236,-3.6768927,2,50 kW 2 conectores CC (CCS/Chademo),50 kW,IBERDROLA,Iniciativa privada
3863,VillaDeVallecas,CascoHistoricoDeVallecas,40.35904900182343,-3.661473377030333,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,,Acuerdo bilateral
3865,Fuencarral-ElPardo,Pilar,40.4795001,-3.7067216,2,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW). AC- Tipo 2 (22kW),50 kW,CCLAVAGUADA,Convenio cesión
4265,VillaDeVallecas,CascoHistoricoDeVallecas,40.35904900182343,-3.661473377030333,1,150 kW DC-CCS Combo 2 (≥ 250 A) y CHAdeMO (≥ 100 A),150 kW,,Acuerdo bilateral
