OID_,DISTRITO,BARRIO,UBICACIÓN,DIRECCIÓN COMPLETA,LATITUD,LONGITUD,EMPLAZAMIENTO,Nº_EQUIPOS,CARACTERÍSTICAS_EQUIPO,POTENCIA_MAX,OPERADOR,GESTIÓN
3784,Arganzuela,Palos de Moguer,"Calle del General Lacy, 21","Calle del General Lacy, 21, Madrid",40.40023520601303,-3.6910309587761834,Vía pública,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,TOTALENERGIES,Concesión demanial
3793,Moratalaz,Pavones,Calle Hacienda de Pavones 231,"Calle Hacienda de Pavones 231 , Madrid",40.400725550000004,-3.634548272405329,Vía pública,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,IBERDROLA,Concesión demanial
3798,Hortaleza,Pinar del Rey,Glorieta De Sandro Pertini,"Glorieta De Sandro Pertini , Madrid",40.46949030227158,-3.642070521065105,Vía pública,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,IBERDROLA,Concesión demanial
3801,Villaverde,Los Rosales,Calle de Santa Florencia,"Calle de Santa Florencia , Madrid",40.34849730172464,-3.690871377913514,Vía pública,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,IBERDROLA,Concesión demanial
3804,Vicálvaro,Valderrivas,"Calle de Minerva, 17","Calle de Minerva, 17, Madrid",40.395520719633595,-3.6070539036291756,Vía pública,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,TOTALENERGIES,Concesión demanial
3807,Villa de Vallecas,Casco Histórico de Vallecas,Avenida de Legazpi,"Avenida de Legazpi, Madrid",40.360642850000005,-3.6609847,Mercamadrid,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,DRIVE THE CITY,Acuerdo bilateral
3808,Villa de Vallecas,Casco Histórico de Vallecas,Avenida de Legazpi,"Avenida de Legazpi, Madrid",40.360642850000005,-3.6609847,Mercamadrid,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,DRIVE THE CITY,Acuerdo bilateral
3809,Villa de Vallecas,Casco Histórico de Vallecas,Mercamadrid,"Mercamadrid, Madrid",40.3603834,-3.662785350358371,Mercamadrid,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC (CIRCUTOR),Acuerdo bilateral
3810,Retiro,Ibiza,Calle Ibiza 1,"Calle Ibiza 1, Madrid",38.5404,-0.1216588,Vía pública,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio vía pública
3811,Retiro,Jerónimos,"Plaza de la Lealtad, s/n","Plaza de la Lealtad, s/n, Madrid",40.41694360741295,-3.6932110991829568,Vía pública,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,Convenio vía pública
3812,Carabanchel,Buenavista,"Calle Hilario Herranz Establos, 20","Calle Hilario Herranz Establos, 20, Madrid",40.37277833627155,-3.728795634529903,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,Convenio cesión
3814,Moncloa - Aravaca,Argüelles,"Calle Marqués de Urquijo, 27","Calle Marqués de Urquijo, 27, Madrid",40.4295828,-3.7190864,Aparcamiento,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,Convenio cesión
3815,Villaverde,"Villaverde Alto, Casco Histórico de Villaverde","Calle Valle de Tobalina, 24","Calle Valle de Tobalina, 24 , Madrid",40.340804004142555,-3.7108612553710447,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,IBERDROLA,Convenio cesión
3816,Tetuán,Cuatro Caminos,Calle Bravo Murillo 122,"Calle Bravo Murillo 122, Madrid",40.449154449999995,-3.702887907930223,Mercado municipal,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,DRIVE THE CITY,Convenio cesión
3818,Usera,Orcasur,"Calle de Eduardo Barreiros, 2","Calle de Eduardo Barreiros, 2 , Madrid",40.3657879177848,-3.6977885493901366,Aparcamiento,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,Convenio cesión
3819,Tetuán,Cuatro Caminos,"Avenida del General Perón, 21","Avenida del General Perón, 21, Madrid",40.45241628338564,-3.696925727677478,Aparcamiento,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,Convenio cesión
3820,Usera,Orcasur,"C. Coníferas, 12","C. Coníferas, 12, Madrid",40.36701283161155,-3.6955669738642656,Estación de servicio,1,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,Convenio cesión
3822,Hortaleza,Apostol Santiago,"C. Julio Danvila, 15","C. Julio Danvila, 15, Madrid",40.47225181765033,-3.662773297838859,Aparcamiento,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,NATURGY,Convenio cesión
3823,Villa de Vallecas,Casco Histórico de Vallecas,Calle 29,"Calle 29, Madrid",40.35705474843336,-3.6604424289116912,Mercamadrid,3,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,DRIVE THE CITY,Convenio cesión
3824,Ciudad Lineal,Ventas,"Calle Ricardo Ortiz, 44","Calle Ricardo Ortiz, 44, Madrid",40.426019499999995,-3.6585365242627796,Estación de servicio,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,Sudel,Convenio cesión
