OID_,DISTRITO,same_as_wikidata_distrito,BARRIO,same_as_wikidata_barrio,LATITUD,LONGITUD,Nº_EQUIPOS,CARACTERÍSTICAS_EQUIPO,POTENCIA_MAX,OPERADOR,same_as_wikidata_operador,GESTIÓN
3765,Villaverde,https://wikidata.org/entity/Q919536,Butarque,https://wikidata.org/entity/Q390453,40.3398809,-3.6685848,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio cesión
3766,VillaDeVallecas,https://wikidata.org/entity/Q1947988,EnsancheDeVallecas,https://wikidata.org/entity/Q3847485,40.37957475,-3.6196694000000003,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio cesión
3767,SanBlas-Canillejas,https://wikidata.org/entity/Q2001937,Rejas,https://wikidata.org/entity/Q10359029,40.44889261022727,-3.569210905559255,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio cesión
3770,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,40.4144807,-3.7035436244656923,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,EMT,https://wikidata.org/entity/Q1094755,EMT
3771,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,40.424634210825076,-3.6903767172415045,4,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,EMT,https://wikidata.org/entity/Q1094755,EMT
3772,Salamanca,https://wikidata.org/entity/Q1773521,Lista,https://wikidata.org/entity/Q4779,40.4303981252484,-3.679972070404787,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,EMT,https://wikidata.org/entity/Q1094755,EMT
3773,Chamartin,https://wikidata.org/entity/Q1766348,Castilla,https://wikidata.org/entity/Q3813735,40.47180720543637,-3.679376141640235,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,EMT,https://wikidata.org/entity/Q1094755,EMT
3774,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,40.4112736,-3.7083569,1,50 kW 2 conectores CC (CCS/Chademo),50 kW,DRIVETHECITY,,Iniciativa privada
3775,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,40.429402,-3.7084165,1,50 kW 2 conectores CC (CCS/Chademo),50 kW,REPSOL,https://wikidata.org/entity/Q174747,Iniciativa privada
3776,Retiro,https://wikidata.org/entity/Q2002296,Adelfas,https://wikidata.org/entity/Q3774001,40.4062862,-3.669372242441858,2,50 kW 2 conectores CC (CCS/Chademo),50 kW,DRIVETHECITY,,Iniciativa privada
3777,Fuencarral-ElPardo,https://wikidata.org/entity/Q656196,ElGoloso,https://wikidata.org/entity/Q10271137,40.5105475,-3.6903692,2,50 kW 2 conectores CC (CCS/Chademo),50 kW,IBERDROLA,https://wikidata.org/entity/Q1437502,Iniciativa privada
3778,Hortaleza,https://wikidata.org/entity/Q1928529,Canillas,https://wikidata.org/entity/Q9694341,40.4648347,-3.6362258,1,50 kW 2 conectores CC (CCS/Chademo),50 kW,GIC,,Iniciativa privada
3779,Hortaleza,https://wikidata.org/entity/Q1928529,Valdefuentes,https://wikidata.org/entity/Q10388714,40.5004577,-3.65870715,1,50 kW 2 conectores CC (CCS/Chademo),50 kW,GIC,,Iniciativa privada
3780,VillaDeVallecas,https://wikidata.org/entity/Q1947988,CascoHistoricoDeVallecas,https://wikidata.org/entity/Q16544370,40.36572133138983,-3.652522724703893,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,NATURGY,https://wikidata.org/entity/Q474690,Iniciativa privada
3781,VillaDeVallecas,https://wikidata.org/entity/Q1947988,CascoHistoricoDeVallecas,https://wikidata.org/entity/Q16544370,40.36945160115506,-3.648605869554578,1,50 kW 2 conectores CC (CCS/Chademo),50 kW,REPSOL,https://wikidata.org/entity/Q174747,Iniciativa privada
3782,Barajas,https://wikidata.org/entity/Q807230,Corralejos,https://wikidata.org/entity/Q10260772,40.458417,-3.616139,4,350 kW conector CC (CCS),350 kW,GIC,,Iniciativa privada
3783,Barajas,https://wikidata.org/entity/Q807230,Corralejos,https://wikidata.org/entity/Q10260772,40.46749475,-3.619366805586629,2,50 kW 2 conectores CC (CCS/Chademo),50 kW,IBERDROLA,https://wikidata.org/entity/Q1437502,Iniciativa privada
3784,Arganzuela,https://wikidata.org/entity/Q2000929,PalosDeMoguer,https://wikidata.org/entity/Q521009,40.40023520601303,-3.6910309587761834,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,TOTALENERGIES,https://wikidata.org/entity/Q154037,Concesión demanial
3793,Moratalaz,https://wikidata.org/entity/Q2076109,Pavones,https://wikidata.org/entity/Q71760,40.400725550000004,-3.634548272405329,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,IBERDROLA,https://wikidata.org/entity/Q1437502,Concesión demanial
3798,Hortaleza,https://wikidata.org/entity/Q1928529,PinarDelRey,https://wikidata.org/entity/Q10349788,40.46949030227158,-3.642070521065105,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,IBERDROLA,https://wikidata.org/entity/Q1437502,Concesión demanial
3801,Villaverde,https://wikidata.org/entity/Q919536,LosRosales,https://wikidata.org/entity/Q10319807,40.34849730172464,-3.690871377913514,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,IBERDROLA,https://wikidata.org/entity/Q1437502,Concesión demanial
3804,Vicalvaro,https://wikidata.org/entity/Q589403,Valderrivas,https://wikidata.org/entity/Q43025770,40.395520719633595,-3.6070539036291756,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",100 kW,TOTALENERGIES,https://wikidata.org/entity/Q154037,Concesión demanial
3807,VillaDeVallecas,https://wikidata.org/entity/Q1947988,CascoHistoricoDeVallecas,https://wikidata.org/entity/Q16544370,40.360642850000005,-3.6609847,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,DRIVETHECITY,,Acuerdo bilateral
3808,VillaDeVallecas,https://wikidata.org/entity/Q1947988,CascoHistoricoDeVallecas,https://wikidata.org/entity/Q16544370,40.360642850000005,-3.6609847,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,DRIVETHECITY,,Acuerdo bilateral
3809,VillaDeVallecas,https://wikidata.org/entity/Q1947988,CascoHistoricoDeVallecas,https://wikidata.org/entity/Q16544370,40.3603834,-3.662785350358371,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,,Acuerdo bilateral
3810,Retiro,https://wikidata.org/entity/Q2002296,Ibiza,https://wikidata.org/entity/Q15249910,38.5404,-0.1216588,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,REPSOL,https://wikidata.org/entity/Q174747,Convenio vía pública
3811,Retiro,https://wikidata.org/entity/Q2002296,Jeronimos,https://wikidata.org/entity/Q10306766,40.41694360741295,-3.6932110991829568,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,GIC,,Convenio vía pública
3812,Carabanchel,https://wikidata.org/entity/Q1001991,Buenavista,https://wikidata.org/entity/Q953929,40.37277833627155,-3.728795634529903,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,50 kW,ENDESA,https://wikidata.org/entity/Q1275336,Convenio cesión
