ID,DISTRITO,BARRIO,TIPO_VEHICULO,CLASIFICACION_AMBIENTAL,TIPO_CARBURANTE
887103895,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
887754763,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,ELECTRICO
887757533,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,ELECTRICO
887229266,Fuencarral - El Pardo,MIRASIERRA,TURISMO,Cero Emisiones,ELECTRICO
992611839,Moncloa - Aravaca,ARGUELLES,TURISMO,Cero Emisiones,ELECTRICO
992327812,Moncloa - Aravaca,ARGUELLES,TURISMO,Cero Emisiones,ELECTRICO
10103471873,Latina,LUCERO,TURISMO,Cero Emisiones,ELECTRICO
10103296177,Latina,LUCERO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
10103836943,Latina,LUCERO,TURISMO,Cero Emisiones,ELECTRICO
10103282784,Latina,LUCERO,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
10103973365,Latina,LUCERO,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
888522962,Fuencarral - El Pardo,EL GOLOSO,CAMION,Cero Emisiones,ELECTRICO
992709674,Moncloa - Aravaca,ARGUELLES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
992914010,Moncloa - Aravaca,ARGUELLES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
992125394,Moncloa - Aravaca,ARGUELLES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
992809121,Moncloa - Aravaca,ARGUELLES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
992134969,Moncloa - Aravaca,ARGUELLES,TURISMO,Cero Emisiones,ELECTRICO
992114292,Moncloa - Aravaca,ARGUELLES,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
99238887,Moncloa - Aravaca,ARGUELLES,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
992191045,Moncloa - Aravaca,ARGUELLES,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
992270127,Moncloa - Aravaca,ARGUELLES,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
553350973,Chamartin,CIUDAD JARDIN,TURISMO,Cero Emisiones,ELECTRICO
553998256,Chamartin,CIUDAD JARDIN,TURISMO,Cero Emisiones,ELECTRICO
553123634,Chamartin,CIUDAD JARDIN,TURISMO,Cero Emisiones,ELECTRICO
553169961,Chamartin,CIUDAD JARDIN,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
553723083,Chamartin,CIUDAD JARDIN,TURISMO,Cero Emisiones,ELECTRICOS RANGO EXTENDIDO
55339076,Chamartin,CIUDAD JARDIN,TURISMO,Cero Emisiones,ELECTRICO
553915949,Chamartin,CIUDAD JARDIN,TURISMO,Cero Emisiones,ELECTRICO
553838360,Chamartin,CIUDAD JARDIN,TURISMO,ECO,HIBRIDO ENCHUFABLES PHEV
88554670,Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,ELECTRICO
885546371,Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,ELECTRICO
885688811,Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
885157143,Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,ELECTRICO
885955896,Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
885982446,Fuencarral - El Pardo,LA PAZ,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
10104465352,Latina,ALUCHE,TURISMO,Cero Emisiones,HIBRIDO ENCHUFABLES PHEV
1010451592,Latina,ALUCHE,TURISMO,Cero Emisiones,ELECTRICO
