tipo_establecimiento,tipo_titularidad,direccion_completa,municipio_nombre,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_codigo_postal,direccion_coordenada_x,direccion_coordenada_y,codigo_dea
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, Vía de los Poblados, 3, 28033",Madrid,Calle,Vía de los Poblados,3,28033,446143,4480707,"2019-2956"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, Vía de los Poblados, 3, 28033",Madrid,Calle,Vía de los Poblados,3,28033,446143,4480707,"2019-2957"
Otros,Privada,"Madrid, Calle, Vía de los Poblados, 3, 28033",Madrid,Calle,Vía de los Poblados,3,28033,446416,4480610,"2018-384"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, Vía de los Poblados, 13, 28033",Madrid,Calle,Vía de los Poblados,13,28033,446421,4480551,"2020-175"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, Vía de los Poblados, 1, 28033",Madrid,Calle,Vía de los Poblados,1,28033,446101,4480843,"2021-362"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, Vía de los Poblados, 13, 28033",Madrid,Calle,Vía de los Poblados,13,28033,446364,4480552,"2020-172"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, Vía de los Poblados, 1, 28033",Madrid,Calle,Vía de los Poblados,1,28033,446101,4480843,"2021-469"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, Vía de los Poblados, 13, 28033",Madrid,Calle,Vía de los Poblados,13,28033,446423,4480555,"2020-174"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, Vía de los Poblados, 13, 28033",Madrid,Calle,Vía de los Poblados,13,28033,446371,4480554,"2020-173"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, Vía de los Poblados, 13, 28033",Madrid,Calle,Vía de los Poblados,13,28033,446340,4476680,"2020-171"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, Vía de los Poblados, 13, 28033",Madrid,Calle,Vía de los Poblados,13,28033,446340,4476680,"2020-176"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, Vía de los Poblados, 1, 28033",Madrid,Calle,Vía de los Poblados,1,28033,446101,4480843,"2021-490"
Otros,Privada,"Madrid, Calle, Vía de los Poblados, 3, 28033",Madrid,Calle,Vía de los Poblados,3,28033,446145,4480710,"2022-1171"
Otros,Privada,"Madrid, Calle, Vía de los Poblados, 3, 28033",Madrid,Calle,Vía de los Poblados,3,28033,446145,4480710,"2022-1170"
Otros,Privada,"Madrid, Calle, Vía de los Poblados, 1, 28033",Madrid,Calle,Vía de los Poblados,1,28033,446203,4480906,"2018-1069"
Establecimiento hotelero con más de 100 plazas,Privada,"Madrid, Calle, Vía de los Poblados, 3, 28033",Madrid,Calle,Vía de los Poblados,3,28033,446248,4480659,"2023-938"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, Vía de los Poblados, 3, 28033",Madrid,Calle,Vía de los Poblados,3,28033,446229,4480692,"2024-752"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Calle, de la Vidauba, 24, 28044",Madrid,Calle,de la Vidauba,24,28044,435268,4470204,"2022-28"
Centro educativo,Privada,"Madrid, Calle, de Rosa Jardón, 9, 28016",Madrid,Calle,de Rosa Jardón,9,28016,443267,4479667,"2018-1640"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Avda, de San Fermín, 10, 28041",Madrid,Avda,de San Fermín,10,28041,441187,4469181,"2022-79"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Avda, de San Fermín, 15, 28041",Madrid,Avda,de San Fermín,15,28041,441356,4469240,"2018-956"
Centro educativo,Privada,"Madrid, Plaza, de San Francisco, 5, 28005",Madrid,Plaza,de San Francisco,5,28005,439392,4473626,"2018-2800"
Otros,Privada,"Madrid, Calle, de San Jaime, 64, 28031",Madrid,Calle,de San Jaime,64,28031,446998,4470255,"2022-906"
Establecimiento dependiente de una Administración Pública,Pública,"Leganés, Calle, del Maestro, 19, 28914",Leganés,Calle,del Maestro,19,28914,436276,4464409,"2019-8"
Centro educativo,Pública,"Leganés, Calle, del Maestro, 9, 28914",Leganés,Calle,del Maestro,9,28914,435889,4464256,"2019-2691"
