tipo_establecimiento,tipo_titularidad,direccion_completa,municipio_nombre,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_codigo_postal,direccion_coordenada_x,direccion_coordenada_y,codigo_dea
Otros,Privada,"Alcorcón, Calle, de Viena, 2, 28922",Alcorcón,Calle,de Viena,2,28922,431488,4461327,"2018-569"
Otros,Privada,"Madrid, Avda, de Los Rosales, 36, 28041",Madrid,Avda,de Los Rosales,36,28041,441859,4468270,"2017-329"
Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,"Madrid, Avda, de Los Rosales, 24, 28041",Madrid,Avda,de Los Rosales,24,28041,441600,4468537,"2019-2507"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Avda, de Los Rosales, 399, 28021",Madrid,Avda,de Los Rosales,399,28021,443624,4465042,"2024-1033"
Otros,Privada,"Madrid, Calle, de Manuela Malasaña, 6, 28004",Madrid,Calle,de Manuela Malasaña,6,28004,440362,4475575,"2024-618"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Calle, de Martínez Corrochano, 26, 28007",Madrid,Calle,de Martínez Corrochano,26,28007,443237,4472649,"2022-308"
Otros,Privada,"Madrid, Calle, de las Mercedes, 2, 28020",Madrid,Calle,de las Mercedes,2,28020,440464,4478432,"2022-172"
Centro educativo,Privada,"Madrid, Calle, de Mogambo, 5, 28018",Madrid,Calle,de Mogambo,5,28018,444254,4470125,"2019-2617"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Pública,"Madrid, Avda, de Monforte de Lemos, 38-A",Madrid,Avda,de Monforte de Lemos,38-A,,439897,4481184,"2018-26"
Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,"Madrid, Avda, de Monforte de Lemos, 36, 28029",Madrid,Avda,de Monforte de Lemos,36,28029,440226,4481253,"2018-1672"
Centro de trabajo con más de 250 trabajadores,Pública,"Madrid, Avda, de Monforte de Lemos, 5, 28029",Madrid,Avda,de Monforte de Lemos,5,28029,441174,4480761,"2018-1911"
Centro de trabajo con más de 250 trabajadores,Pública,"Madrid, Avda, de Monforte de Lemos, 5, 28029",Madrid,Avda,de Monforte de Lemos,5,28029,441351,4480862,"2018-1914"
Centro de trabajo con más de 250 trabajadores,Pública,"Madrid, Avda, de Monforte de Lemos, 5, 28029",Madrid,Avda,de Monforte de Lemos,5,28029,441499,4480741,"2018-1915"
Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,"Madrid, Avda, de Monforte de Lemos, 36, 28029",Madrid,Avda,de Monforte de Lemos,36,28029,440226,4481253,"2019-672"
Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,"Madrid, Avda, de Monforte de Lemos, 36, 28029",Madrid,Avda,de Monforte de Lemos,36,28029,440226,4481253,"2019-673"
Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,"Madrid, Avda, de Monforte de Lemos, 36, 28029",Madrid,Avda,de Monforte de Lemos,36,28029,440226,4481253,"2019-674"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Avda, de Monforte de Lemos, 38, 28029",Madrid,Avda,de Monforte de Lemos,38,28029,439896,4481185,"2022-256"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Avda, de Monforte de Lemos, 13, 28029",Madrid,Avda,de Monforte de Lemos,13,28029,441219,4481136,"2022-299"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Avda, de Monforte de Lemos, 38, 28034",Madrid,Avda,de Monforte de Lemos,38,28034,439898,4481183,"2021-866"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Avda, de Monforte de Lemos, 40, 28029",Madrid,Avda,de Monforte de Lemos,40,28029,439843,4481117,"2021-868"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,"Madrid, Avda, de Monforte de Lemos, 184, 28035",Madrid,Avda,de Monforte de Lemos,184,28035,439156,4480926,"2023-36"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,"Madrid, Avda, de Monforte de Lemos, 184, 28035",Madrid,Avda,de Monforte de Lemos,184,28035,439156,4480926,"2023-35"
Otros,Privada,"Madrid, Avda, de Monforte de Lemos, 36, 28029",Madrid,Avda,de Monforte de Lemos,36,28029,440037,4481303,"2024-166"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,"Madrid, Avda, de Monforte de Lemos, 36, 28029",Madrid,Avda,de Monforte de Lemos,36,28029,440004,4481165,"2024-352"
Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,"Madrid, Avda, de Monforte de Lemos, 36, 28029",Madrid,Avda,de Monforte de Lemos,36,28029,439968,4481187,"2023-961"
Otros,Privada,"Madrid, Calle, de Montearagón, 5, 28033",Madrid,Calle,de Montearagón,5,28033,444164,4479429,"2022-946"
Centro educativo,Pública,"Madrid, Avda, de Nazaret, 2, 28009",Madrid,Avda,de Nazaret,2,28009,442757,4473545,"2019-1317"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,"Madrid, Avda, de Nazaret, 9, 28009",Madrid,Avda,de Nazaret,9,28009,443098,4473662,"2023-600"
Otros,Privada,"Getafe, Ctra, San Martín de la Vega, 6, 28906",Getafe,Ctra,San Martín de la Vega,6,28906,447553,4462820,"2023-107"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Calle, de Abizanda, 8, 28033",Madrid,Calle,de Abizanda,8,28033,466763,4459349,"2019-560"
Centro educativo,Privada,"Madrid, Calle, del Abolengo, 10, 28025",Madrid,Calle,del Abolengo,10,28025,437485,4471206,"2019-376"
Otros,Privada,"Madrid, Calle, de Abril, 62, 28022",Madrid,Calle,de Abril,62,28022,452276,4477305,"2019-2820"
Centro educativo,Privada,"Madrid, Ronda, de la Abubilla, 20, 28043",Madrid,Ronda,de la Abubilla,20,28043,446321,4478177,"2022-814"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,"Madrid, Paseo, de las Acacias, 3, 28005",Madrid,Paseo,de las Acacias,3,28005,440295,4472894,"2018-2056"
Instalaciones de transporte,Pública,"Madrid, Paseo, de las Acacias, 50, 28005",Madrid,Paseo,de las Acacias,50,28005,439511,4472572,"2018-3101"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Paseo, de las Acacias, 23, 28005",Madrid,Paseo,de las Acacias,23,28005,440100,4472822,"2019-761"
Instalaciones de transporte,Pública,"Madrid, Paseo, de las Acacias, 0, 28005",Madrid,Paseo,de las Acacias,0,28005,439636,4472679,"2024-5"
Establecimiento hotelero con más de 100 plazas,Privada,"Madrid, Paseo, de las Acacias, 40, 28005",Madrid,Paseo,de las Acacias,40,28005,439616,4472669,"2024-693"
Establecimiento dependiente de una Administración Pública,Pública,"Collado Mediano, Calle, del Ramiro, 3, 28450",Collado Mediano,Calle,del Ramiro,3,28450,411814,4505613,"2020-311"
Establecimiento dependiente de una Administración Pública,Pública,"Collado Mediano, Calle, del Ramiro, 3, 28450",Collado Mediano,Calle,del Ramiro,3,28450,411808,4505023,"2022-1063"
Otros,Privada,"Collado Villalba, Calle, las Aguedas, 0, 28400",Collado Villalba,Calle,las Aguedas,0,28400,415295,4499573,"2022-1427"
Otros,Privada,"Santa María de la Alameda, Plaza, Comunidad, 5, 28296",Santa María de la Alameda,Plaza,Comunidad,5,28296,391054,4491341,"2024-75"
Centro educativo,Privada,"Madrid, Calle, de la Universidad de Comillas, 3, 28049",Madrid,Calle,de la Universidad de Comillas,3,28049,442222,4489320,"2020-878"
Centro educativo,Privada,"Madrid, Calle, de la Universidad de Comillas, 3, 28049",Madrid,Calle,de la Universidad de Comillas,3,28049,442222,4489320,"2020-879"
Establecimiento dependiente de una Administración Pública,Pública,"Daganzo de Arriba, Gta, de Alcalá, 0, 28814",Daganzo de Arriba,Gta,de Alcalá,0,28814,461209,4488146,"2021-896"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Osiris, 13, 28037",Madrid,Calle,de Osiris,13,28037,445588,4477734,"2018-1728"
Otros,Privada,"Madrid, Calle, de Osiris, 13, 28037",Madrid,Calle,de Osiris,13,28037,445293,4477789,"2018-1583"
Instalaciones de transporte,Pública,"Madrid, Avda, de Pablo Iglesias, 91, 28039",Madrid,Avda,de Pablo Iglesias,91,28039,439644,4478748,"2018-2969"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,"Madrid, Avda, de Pablo Iglesias, 39, 28039",Madrid,Avda,de Pablo Iglesias,39,28039,439794,4477839,"2023-634"
Centro educativo,Privada,"Madrid, Calle, de los Pajaritos, 22, 28007",Madrid,Calle,de los Pajaritos,22,28007,443146,4472842,"2018-2371"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de los Pajaritos, 24, 28007",Madrid,Calle,de los Pajaritos,24,28007,443166,4472870,"2018-2376"
Otros,Privada,"Fuenlabrada, Calle, de la Noria, 16, 28944",Fuenlabrada,Calle,de la Noria,16,28944,468341,4488652,"2021-726"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,"Fuenlabrada, Calle, de Valverde de los Arroyos, 6, 28944",Fuenlabrada,Calle,de Valverde de los Arroyos,6,28944,431708,4458527,"2018-735"
Establecimiento dependiente de una Administración Pública,Pública,"Collado Villalba, Calle, Batalla de Bailén, 7, 28400",Collado Villalba,Calle,Batalla de Bailén,7,28400,414862,4498323,"2019-109"
Otros,Privada,"Guadarrama, Calle, Alfonso Senra, 47, 28440",Guadarrama,Calle,Alfonso Senra,47,28440,407786,4503130,"2022-1028"
Otros,Privada,"Madrid, Calle, de Alverja, 5, 28011",Madrid,Calle,de Alverja,5,28011,436022,4472734,"2023-384"
Otros,Privada,"Madrid, Calle, de Alverja, 5, 28011",Madrid,Calle,de Alverja,5,28011,436022,4472734,"2023-385"
Establecimiento dependiente de una Administración Pública,Pública,"Fuentidueña de Tajo, Avda, de Elena Soriano, 3, 28597",Fuentidueña de Tajo,Avda,de Elena Soriano,3,28597,486184,4441004,"2018-1286"
Otros,Pública,"Valdilecha, Plaza, del Ayuntamiento, 19, 28511",Valdilecha,Plaza,del Ayuntamiento,19,28511,474232,4460617,"2018-2842"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de los Chulapos, 0, 28005",Madrid,Calle,de los Chulapos,0,28005,438854,4473222,"2022-1023"
Otros,Privada,"Madrid, Calle, de la Silvina, 10, 28041",Madrid,Calle,de la Silvina,10,28041,441270,4468651,"2020-206"
Otros,Privada,"Madrid, Calle, de la Ribera del Loira, 42, 28042",Madrid,Calle,de la Ribera del Loira,42,28042,447321,4479257,"2018-80"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de la Ribera del Loira, 60, 28042",Madrid,Calle,de la Ribera del Loira,60,28042,447573,4478945,"2017-394"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de la Ribera del Loira, 50, 28042",Madrid,Calle,de la Ribera del Loira,50,28042,447402,4479188,"2018-1731"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de la Ribera del Loira, 4, 28042",Madrid,Calle,de la Ribera del Loira,4,28042,446902,4479924,"2018-2618"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de la Ribera del Loira, 28, 28042",Madrid,Calle,de la Ribera del Loira,28,28042,447184,4479472,"2018-2920"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de la Ribera del Loira, 56, 28042",Madrid,Calle,de la Ribera del Loira,56,28042,447491,4479122,"2019-2739"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de la Ribera del Loira, 16, 28042",Madrid,Calle,de la Ribera del Loira,16,28042,447051,4479657,"2019-2829"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de la Ribera del Loira, 4, 28042",Madrid,Calle,de la Ribera del Loira,4,28042,439556,4475016,"2020-802"
Otros,Privada,"Madrid, Calle, de la Ribera del Loira, 4, 28042",Madrid,Calle,de la Ribera del Loira,4,28042,446904,4479877,"2017-304"
Otros,Privada,"Madrid, Calle, de la Ribera del Loira, 46, 28042",Madrid,Calle,de la Ribera del Loira,46,28042,447321,4479239,"2023-97"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Plaza, de la Asamblea de Madrid, 1, 28018",Madrid,Plaza,de la Asamblea de Madrid,1,28018,443884,4470578,"2023-324"
Centro educativo,Pública,"Madrid, Calle, de José Antonio Novais, 10, 28040",Madrid,Calle,de José Antonio Novais,10,28040,438662,4477810,"2018-1164"
Centro educativo,Pública,"Madrid, Calle, de José Antonio Novais, 10, 28040",Madrid,Calle,de José Antonio Novais,10,28040,438661,4477810,"2018-1157"
Centro educativo,Pública,"Madrid, Calle, del Profesor Aranguren, 3, 28040",Madrid,Calle,del Profesor Aranguren,3,28040,437754,4477861,"2018-1161"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,"Madrid, Calle, de López de Hoyos, 71, 28002",Madrid,Calle,de López de Hoyos,71,28002,442705,4477180,"2018-728"
Centro educativo,Privada,"Madrid, Calle, de López de Hoyos, 386, 28043",Madrid,Calle,de López de Hoyos,386,28043,444165,4479164,"2018-1358"
Centro de trabajo con más de 250 trabajadores,Pública,"Madrid, Calle, de López de Hoyos, 169, 28002",Madrid,Calle,de López de Hoyos,169,28002,443563,4477916,"2018-2756"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de López de Hoyos, 35, 28002",Madrid,Calle,de López de Hoyos,35,28002,442353,4476925,"2018-2708"
Otros,Privada,"Madrid, Calle, de López de Hoyos, 35, 28002",Madrid,Calle,de López de Hoyos,35,28002,442348,4476925,"2019-317"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Calle, de López de Hoyos, 329, 28043",Madrid,Calle,de López de Hoyos,329,28043,444428,4479660,"2019-564"
Otros,Privada,"Madrid, Calle, de López de Hoyos, 120, 28002",Madrid,Calle,de López de Hoyos,120,28002,442848,4477280,"2020-19"
Otros,Privada,"Madrid, Calle, de López de Hoyos, 5",Madrid,Calle,de López de Hoyos,5,,441679,4476483,"2021-553"
Otros,Privada,"Madrid, Calle, de López de Hoyos, 66, 28002",Madrid,Calle,de López de Hoyos,66,28002,442481,4476974,"2021-778"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Calle, de López de Hoyos, 161, 28002",Madrid,Calle,de López de Hoyos,161,28002,443444,4477804,"2022-34"
Otros,Privada,"Madrid, Calle, de López de Hoyos, 159, 28002",Madrid,Calle,de López de Hoyos,159,28002,443414,4477775,"2022-1362"
Otros,Privada,"Madrid, Calle, de López de Hoyos, 143, 28002",Madrid,Calle,de López de Hoyos,143,28002,443255,4477664,"2022-1277"
Otros,Privada,"Madrid, Calle, de López de Hoyos, 25, 28006",Madrid,Calle,de López de Hoyos,25,28006,442129,4476794,"2023-591"
Otros,Privada,"Madrid, Calle, de López de Hoyos, 35, 28002",Madrid,Calle,de López de Hoyos,35,28002,442347,4476926,"2023-995"
Otros,Privada,"Madrid, Calle, de López de Hoyos, 317, 28043",Madrid,Calle,de López de Hoyos,317,28043,444088,4479109,"2024-293"
Otros,Privada,"Madrid, Calle, de López de Hoyos, 472, 28043",Madrid,Calle,de López de Hoyos,472,28043,444885,4480248,"2024-663"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Calle, de Los Brezos, 6, 28042",Madrid,Calle,de Los Brezos,6,28042,450044,4479113,"2022-297"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Gta, de Los Cármenes, 2, 28047",Madrid,Gta,de Los Cármenes,2,28047,436879,4471848,"2018-721"
Otros,Privada,"Madrid, Calle, de Los Mineros, 17, 28025",Madrid,Calle,de Los Mineros,17,28025,448752,4524834,"2022-71"
Otros,Privada,"Madrid, Calle, de Lozano, 3, 28053",Madrid,Calle,de Lozano,3,28053,443085,4471937,"2023-249"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Luchana, 23, 28010",Madrid,Calle,de Luchana,23,28010,440643,4475848,"2018-898"
Otros,Privada,"Madrid, Calle, de Luchana, 23, 28010",Madrid,Calle,de Luchana,23,28010,440643,4475847,"2018-2027"
Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,"Madrid, Calle, de Luchana, 15, 28010",Madrid,Calle,de Luchana,15,28010,440542,4475732,"2021-322"
Centro educativo,Privada,"Madrid, Calle, de Luis de Góngora, 5, 28004",Madrid,Calle,de Luis de Góngora,5,28004,440895,4474959,"2019-70"
Centro educativo,Privada,"Madrid, Calle, de Luis Feito, 19, 28047",Madrid,Calle,de Luis Feito,19,28047,436840,4471463,"2018-2456"
Otros,Privada,"San Martín de Valdeiglesias, Avda, de la Virgen de la Nueva, 0, 28680",San Martín de Valdeiglesias,Avda,de la Virgen de la Nueva,0,28680,387677,4470030,"2024-232"
Otros,Privada,"San Martín de Valdeiglesias, Avda, de la Virgen de la Nueva, 0, 28680",San Martín de Valdeiglesias,Avda,de la Virgen de la Nueva,0,28680,387677,4470030,"2024-233"
Otros,Privada,"San Sebastián de los Reyes, Calle, de las Acacias, 3, 28703",San Sebastián de los Reyes,Calle,de las Acacias,3,28703,447393,4488550,"2019-2572"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,"Madrid, Calle, de Luis Mitjans, 22, 28007",Madrid,Calle,de Luis Mitjans,22,28007,443082,4472400,"2019-2564"
Otros,Privada,"Madrid, Calle, de Luis Mitjans, 7-13, 28007",Madrid,Calle,de Luis Mitjans,7-13,28007,443068,4472426,"2022-1263"
Otros,Privada,"Madrid, Calle, de Luis Mitjans, 25, 28007",Madrid,Calle,de Luis Mitjans,25,28007,443145,4472640,"2024-660"
Otros,Privada,"Madrid, Calle, de Luis Peidro, 2, 28007",Madrid,Calle,de Luis Peidro,2,28007,442837,4472038,"2020-224"
Centro educativo,Privada,"Móstoles, Calle, Camino de Humanes, 12, 28938",Móstoles,Calle,Camino de Humanes,12,28938,426694,4463542,"2019-186"
Instalaciones de transporte,Pública,"Móstoles, Plaza, del Pradillo, 0, 28931",Móstoles,Plaza,del Pradillo,0,28931,426550,4463798,"2018-3070"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,"Móstoles, Avda, del Dos de Mayo, 27, 28934",Móstoles,Avda,del Dos de Mayo,27,28934,426063,4463644,"2021-46"
Establecimiento dependiente de una Administración Pública,Pública,"Móstoles, Plaza, de España, 1, 28934",Móstoles,Plaza,de España,1,28934,426518,4463986,"2018-2038"
Instalaciones de transporte,Pública,"Móstoles, Calle, Granada, 0, 28935",Móstoles,Calle,Granada,0,28935,425062,4464864,"2019-2857"
Otros,Privada,"Móstoles, Calle, de San Marcial, 22, 28931",Móstoles,Calle,de San Marcial,22,28931,426787,4464244,"2018-1882"
Establecimiento dependiente de una Administración Pública,Pública,"Móstoles, Calle, de Daoíz, 17, 28931",Móstoles,Calle,de Daoíz,17,28931,426253,4464238,"2019-766"
Otros,Privada,"Miraflores de la Sierra, Ctra, M-608, 10, 28792",Miraflores de la Sierra,Ctra,M-608,10,28792,432110,4521293,"2024-156"
Centro educativo,Privada,"Pozuelo de Alarcón, Calle, de Portugalete, 1, 28223",Pozuelo de Alarcón,Calle,de Portugalete,1,28223,431166,4476525,"2018-2485"
Centro educativo,Privada,"Pozuelo de Alarcón, Calle, de Portugalete, 1, 28223",Pozuelo de Alarcón,Calle,de Portugalete,1,28223,431166,4476525,"2018-2557"
Centro educativo,Privada,"Pozuelo de Alarcón, Calle, de Portugalete, 1, 28223",Pozuelo de Alarcón,Calle,de Portugalete,1,28223,431166,4476525,"2018-2559"
Establecimiento dependiente de una Administración Pública,Pública,"Pozuelo de Alarcón, Calle, San Rafael, 2, 28224",Pozuelo de Alarcón,Calle,San Rafael,2,28224,432066,4477517,"2018-364"
Centro educativo,Privada,"Pozuelo de Alarcón, Cmno, Alcorcón, 17, 28223",Pozuelo de Alarcón,Cmno,Alcorcón,17,28223,435479,4475805,"2019-553"
Centro educativo,Privada,"Pozuelo de Alarcón, Cmno, Alcorcón, 17, 28223",Pozuelo de Alarcón,Cmno,Alcorcón,17,28223,458810,4456111,"2023-563"
Centro educativo,Privada,"Pozuelo de Alarcón, Calle, Isidro Gómez, 1, 28223",Pozuelo de Alarcón,Calle,Isidro Gómez,1,28223,430865,4476511,"2018-954"
Centro educativo,Privada,"Rozas de Madrid, Las, Avda, Andraitx, 1, 28290","Rozas de Madrid, Las",Avda,Andraitx,1,28290,423721,4487309,"2019-442"
Otros,Privada,"Rozas de Madrid, Las, Calle, Azor, 2, 28232","Rozas de Madrid, Las",Calle,Azor,2,28232,420185,4487567,"2018-1782"
Establecimiento dependiente de una Administración Pública,Pública,"Móstoles, Avda, de la Constitución, 23, 28931",Móstoles,Avda,de la Constitución,23,28931,426658,4464152,"2024-823"
Otros,Privada,"Pinto, Calle, de las Palomas, 27, 28320",Pinto,Calle,de las Palomas,27,28320,438545,4456157,"2024-575"
Otros,Privada,"Pinto, Calle, Garzas, 12, 28320",Pinto,Calle,Garzas,12,28320,439071,4455543,"2018-1181"
Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,"Rozas de Madrid, Las, Calle, Comunidad de Madrid, 41, 28231","Rozas de Madrid, Las",Calle,Comunidad de Madrid,41,28231,425663,4482562,"2019-856"
Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,"Rozas de Madrid, Las, Calle, Comunidad de Madrid, 37, 28231","Rozas de Madrid, Las",Calle,Comunidad de Madrid,37,28231,425767,4482441,"2019-861"
Otros,Privada,"Rozas de Madrid, Las, Calle, Comunidad de Madrid, 43, 28231","Rozas de Madrid, Las",Calle,Comunidad de Madrid,43,28231,425356,4482754,"2021-83"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Pública,"Rozas de Madrid, Las, Calle, Comunidad de La Rioja, 4, 28231","Rozas de Madrid, Las",Calle,Comunidad de La Rioja,4,28231,425230,4482708,"2017-353"
Establecimiento dependiente de una Administración Pública,Pública,"Rozas de Madrid, Las, Calle, Comunidad de La Rioja, 4, 28231","Rozas de Madrid, Las",Calle,Comunidad de La Rioja,4,28231,425227,4482713,"2019-273"
Establecimiento dependiente de una Administración Pública,Pública,"Rozas de Madrid, Las, Calle, Comunidad de La Rioja, 2, 28231","Rozas de Madrid, Las",Calle,Comunidad de La Rioja,2,28231,425298,4482681,"2020-702"
Centro educativo,Privada,"Rozas de Madrid, Las, Avda, Coruña, 70, 28231","Rozas de Madrid, Las",Avda,Coruña,70,28231,426573,4482482,"2019-160"
"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Pública,"Madrid, Calle, de la Estafeta, 28041",Madrid,Calle,de la Estafeta,,28041,441162,4469645,"2018-1497"
Otros,Privada,"Madrid, Calle, de Estocolmo, 2, 28022",Madrid,Calle,de Estocolmo,2,28022,448920,4475006,"2018-2827"
Centro educativo,Privada,"Madrid, Calle, de la Macarena, 37, 28016",Madrid,Calle,de la Macarena,37,28016,442616,4479233,"2019-825"
Otros,Pública,"Madrid, Calle, de Los Madrazo, 14, 28014",Madrid,Calle,de Los Madrazo,14,28014,440822,4474329,"2018-1671"
Establecimiento dependiente de una Administración Pública,Pública,"Madrid, Calle, de Los Madrazo, 38, 28014",Madrid,Calle,de Los Madrazo,38,28014,441077,4474323,"2020-813"
Centro educativo,Privada,"Madrid, Calle, de la Madre Antonia París, 1, 28027",Madrid,Calle,de la Madre Antonia París,1,28027,444713,4477301,"2018-1368"
Centro educativo,Privada,"Madrid, Calle, de la Madre Antonia París, 1, 28027",Madrid,Calle,de la Madre Antonia París,1,28027,444713,4477299,"2018-1766"
Centro educativo,Privada,"Madrid, Calle, de la Madre Cándida María de Jesús, 4, 28026",Madrid,Calle,de la Madre Cándida María de Jesús,4,28026,440434,4470708,"2018-537"
Centro educativo,Privada,"Madrid, Calle, de la Madre Carmen del Niño Jesús, 6, 28002",Madrid,Calle,de la Madre Carmen del Niño Jesús,6,28002,442305,4478034,"2019-801"
Centro educativo,Privada,"Madrid, Plaza, de la Madre María Ana Mogas, 12, 28034",Madrid,Plaza,de la Madre María Ana Mogas,12,28034,441605,4482854,"2019-512"
Centro educativo,Privada,"Madrid, Plaza, de la Madre Molas, 1, 28036",Madrid,Plaza,de la Madre Molas,1,28036,441962,4479386,"2018-2388"
Otros,Privada,"Madrid, Avda, de los Madroños, 27, 28043",Madrid,Avda,de los Madroños,27,28043,445367,4478570,"2024-681"
Otros,Privada,"Madrid, Calle, del Maestro Alonso, 21, 28028",Madrid,Calle,del Maestro Alonso,21,28028,443727,4475427,"2018-67"
Establecimiento dependiente de una Administración Pública,Pública,"Rozas de Madrid, Las, Plaza, José Prat, 1, 28290","Rozas de Madrid, Las",Plaza,José Prat,1,28290,424312,4489130,"2020-707"
Otros,Privada,"Rozas de Madrid, Las, Calle, Cabo Rufino Lázaro, 21, 28232","Rozas de Madrid, Las",Calle,Cabo Rufino Lázaro,21,28232,424845,4483233,"2024-536"
Centro educativo,Privada,"Pozuelo de Alarcón, Calle, Orense, 108, 28223",Pozuelo de Alarcón,Calle,Orense,108,28223,429891,4473814,"2018-2578"
Otros,Privada,"Pozuelo de Alarcón, Calle, Tórtola, 1, 28223",Pozuelo de Alarcón,Calle,Tórtola,1,28223,433442,4474254,"2022-1271"
Establecimiento dependiente de una Administración Pública,Pública,"Rozas de Madrid, Las, Avda, Doctor Toledo, 44, 28231","Rozas de Madrid, Las",Avda,Doctor Toledo,44,28231,426260,4483083,"2019-2796"
Otros,Privada,"Pozuelo de Alarcón, Calle, Manises, 1, 28224",Pozuelo de Alarcón,Calle,Manises,1,28224,432408,4477692,"2018-716"
Centro de trabajo con más de 250 trabajadores,Privada,"Pozuelo de Alarcón, Calle, Manises, 1, 28224",Pozuelo de Alarcón,Calle,Manises,1,28224,432389,4477699,"2024-125"
Centro educativo,Privada,"Pozuelo de Alarcón, Calle, Pajares, 22, 28223",Pozuelo de Alarcón,Calle,Pajares,22,28223,431657,4475388,"2018-1942"
Otros,Privada,"Pozuelo de Alarcón, Avda, Prado Largo, 10, 28223",Pozuelo de Alarcón,Avda,Prado Largo,10,28223,427674,4476261,"2022-1274"
Centro educativo,Privada,"Pozuelo de Alarcón, Calle, San Jorge, 28224",Pozuelo de Alarcón,Calle,San Jorge,,28224,432086,4476996,"2018-1849"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Magallanes, 3, 28015",Madrid,Calle,de Magallanes,3,28015,440142,4476031,"2021-378"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Magallanes, 3, 28015",Madrid,Calle,de Magallanes,3,28015,440142,4476031,"2021-348"
Centro de trabajo con más de 250 trabajadores,Privada,"Madrid, Calle, de Magallanes, 3, 28015",Madrid,Calle,de Magallanes,3,28015,440142,4476031,"2021-347"
Centro educativo,Privada,"Móstoles, Calle, Nazaret, 5, 28936",Móstoles,Calle,Nazaret,5,28936,427458,4464697,"2023-942"
Establecimiento dependiente de una Administración Pública,Pública,"Móstoles, Calle, de la Libertad, 34, 28937",Móstoles,Calle,de la Libertad,34,28937,427421,4464381,"2018-2058"
Otros,Privada,"Móstoles, Calle, de la Libertad, 14, 28936",Móstoles,Calle,de la Libertad,14,28936,427340,4464581,"2020-658"
Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,"Móstoles, Calle, de la Libertad, 38",Móstoles,Calle,de la Libertad,38,,427471,4464305,"2021-142"
Otros,Privada,"Móstoles, Calle, Niza, 8, 28936",Móstoles,Calle,Niza,8,28936,427839,4464274,"2022-1010"
Otros,Privada,"Móstoles, Calle, Río Duero, 17, 28935",Móstoles,Calle,Río Duero,17,28935,425662,4463093,"2022-1347"
