codigo_dea,tipo_establecimiento,tipo_titularidad,direccion_completa,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_codigo_postal,municipio_nombre,direccion_coordenada_x,direccion_coordenada_y
2018-1412,Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,Avda Juan Carlos I 46 28400 Collado Villalba,Avda,Juan Carlos I,46,28400,Collado Villalba,414020,4498962.0
2018-2965,Establecimiento hotelero con más de 100 plazas,Privada,Avda Juan Carlos I 45 28400 Collado Villalba,Avda,Juan Carlos I,45,28400,Collado Villalba,414573,4498662.0
2023-815,Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,Avda Juan Carlos I 46 28400 Collado Villalba,Avda,Juan Carlos I,46,28400,Collado Villalba,414022,4498963.0
2018-2495,Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,Calle Granito 1 28400 Collado Villalba,Calle,Granito,1,28400,Collado Villalba,413924,4497703.0
2023-328,Otros,Privada,Calle Husillo 0 28400 Collado Villalba,Calle,Husillo,0,28400,Collado Villalba,414008,4498021.0
2024-835,Establecimiento dependiente de una Administración Pública,Pública,Plaza de Pontejos 3 28012 Madrid,Plaza,de Pontejos,3,28012,Madrid,440233,4474154.0
2023-276,Centro educativo,Privada,Gta del Presidente García Moreno 3 28003 Madrid,Gta,del Presidente García Moreno,3,28003,Madrid,439474,4477717.0
2024-493,Centro educativo,Privada,Gta del Presidente García Moreno 3 28003 Madrid,Gta,del Presidente García Moreno,3,28003,Madrid,439370,4477504.0
2024-644,Otros,Privada,Calle Retama 2 28979 Serranillos del Valle,Calle,Retama,2,28979,Serranillos del Valle,425952,4451326.0
2019-736,"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Pública,Calle Egidillo 0 28791 Soto del Real,Calle,Egidillo,0,28791,Soto del Real,433748,4510900.0
2019-737,"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Pública,Calle Egidillo 0 28791 Soto del Real,Calle,Egidillo,0,28791,Soto del Real,433716,4511026.0
2019-811,Otros,Pública,Plaza de la Villa 10 28791 Soto del Real,Plaza,de la Villa,10,28791,Soto del Real,433614,4511683.0
2022-1066,Establecimiento dependiente de una Administración Pública,Pública,Paseo Alfredo Carneros 2 28450 Collado Mediano,Paseo,Alfredo Carneros,2,28450,Collado Mediano,412197,4505058.0
2024-38,"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Pública,Avda Alemania 2 28916 Leganés,Avda,Alemania,2,28916,Leganés,436712,4464988.0
2024-40,"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Pública,Avda Alemania 2 28916 Leganés,Avda,Alemania,2,28916,Leganés,436676,4464903.0
2023-489,Otros,Privada,Calle Aligustre 5 28912 Leganés,Calle,Aligustre,5,28912,Leganés,435246,4464480.0
2019-971,Establecimiento público con aforo igual o superior a 2000 personas,Privada,Calle Arquitectura 0 28918 Leganés,Calle,Arquitectura,0,28918,Leganés,435254,4465615.0
2019-968,Establecimiento público con aforo igual o superior a 2000 personas,Privada,Calle Arquitectura 0 28918 Leganés,Calle,Arquitectura,0,28918,Leganés,435254,4465615.0
2019-969,Establecimiento público con aforo igual o superior a 2000 personas,Privada,Calle Arquitectura 0 28918 Leganés,Calle,Arquitectura,0,28918,Leganés,435254,4465615.0
2019-967,Establecimiento público con aforo igual o superior a 2000 personas,Privada,Calle Arquitectura 0 28918 Leganés,Calle,Arquitectura,0,28918,Leganés,435254,4465615.0
2019-965,Establecimiento público con aforo igual o superior a 2000 personas,Privada,Calle Arquitectura 0 28918 Leganés,Calle,Arquitectura,0,28918,Leganés,435254,4465615.0
2019-966,Establecimiento público con aforo igual o superior a 2000 personas,Privada,Calle Arquitectura 0 28918 Leganés,Calle,Arquitectura,0,28918,Leganés,435254,4465615.0
2024-39,"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Pública,Calle Arquitectura 4 28918 Leganés,Calle,Arquitectura,4,28918,Leganés,435221,4465645.0
2024-30,Otros,Pública,Calle Austria 5 28916 Leganés,Calle,Austria,5,28916,Leganés,436859,4465451.0
2020-323,Otros,Privada,Calle de Carlos Sáinz 0 28914 Leganés,Calle,de Carlos Sáinz,0,28914,Leganés,434707,4463145.0
2022-103,Otros,Privada,Calle de Carlos Sáinz 29 28914 Leganés,Calle,de Carlos Sáinz,29,28914,Leganés,434376,4462943.0
2021-33,Establecimiento dependiente de una Administración Pública,Pública,Avda de la Constitución 2 28890 Loeches,Avda,de la Constitución,2,28890,Loeches,465230,4470432.0
2020-64,Centro educativo,Pública,Plaza Duquesa de Alba 3 28890 Loeches,Plaza,Duquesa de Alba,3,28890,Loeches,465079,4470711.0
2021-19,Establecimiento dependiente de una Administración Pública,Pública,Calle Molino 29 28890 Loeches,Calle,Molino,29,28890,Loeches,464876,4470616.0
2020-77,Establecimiento dependiente de una Administración Pública,Pública,Calle Molino 29 28890 Loeches,Calle,Molino,29,28890,Loeches,464843,4470585.0
2021-31,Establecimiento dependiente de una Administración Pública,Pública,Calle Molino 1 28890 Loeches,Calle,Molino,1,28890,Loeches,464948,4470370.0
2021-26,Establecimiento dependiente de una Administración Pública,Pública,Calle Molino 29 28890 Loeches,Calle,Molino,29,28890,Loeches,464876,4470616.0
2021-28,Establecimiento dependiente de una Administración Pública,Pública,Calle Molino 29 28890 Loeches,Calle,Molino,29,28890,Loeches,464876,4470616.0
2021-25,Establecimiento dependiente de una Administración Pública,Pública,Calle Molino 29 28890 Loeches,Calle,Molino,29,28890,Loeches,464876,4470616.0
2021-27,Establecimiento dependiente de una Administración Pública,Pública,Calle San Lorenzo 48 28890 Loeches,Calle,San Lorenzo,48,28890,Loeches,464759,4470327.0
2021-18,Establecimiento dependiente de una Administración Pública,Pública,Plaza de la Villa 1 28890 Loeches,Plaza,de la Villa,1,28890,Loeches,465365,4470633.0
2022-177,Establecimiento dependiente de una Administración Pública,Pública,Plaza de la Villa 1 28890 Loeches,Plaza,de la Villa,1,28890,Loeches,465256,4470431.0
2021-17,Establecimiento dependiente de una Administración Pública,Pública,Calle de la Cruz de Piedra 1 28890 Loeches,Calle,de la Cruz de Piedra,1,28890,Loeches,465012,4470940.0
2019-120,Otros,Privada,Calle Roa 13 28890 Loeches,Calle,Roa,13,28890,Loeches,464975,4472481.0
2019-125,Otros,Privada,Calle Roa 5 28890 Loeches,Calle,Roa,5,28890,Loeches,464630,4472392.0
2019-707,Otros,Privada,Calle Roa 4 28890 Loeches,Calle,Roa,4,28890,Loeches,464567,4472272.0
2022-1053,Otros,Privada,Calle Roa 14 28890 Loeches,Calle,Roa,14,28890,Loeches,465019,4472413.0
2021-327,Otros,Privada,Calle Central 46 28400 Collado Villalba,Calle,Central,46,28400,Collado Villalba,414044,4498953.0
2018-323,Establecimiento dependiente de una Administración Pública,Pública,Plaza del Ayuntamiento 1 28760 Tres Cantos,Plaza,del Ayuntamiento,1,28760,Tres Cantos,439765,4494499.0
2022-142,Centro educativo,Privada,Calle del Fuego 9 28760 Tres Cantos,Calle,del Fuego,9,28760,Tres Cantos,439059,4496060.0
2022-143,Centro educativo,Privada,Calle del Fuego 9 28760 Tres Cantos,Calle,del Fuego,9,28760,Tres Cantos,439059,4496060.0
2022-144,Centro educativo,Privada,Calle del Fuego 9 28760 Tres Cantos,Calle,del Fuego,9,28760,Tres Cantos,439059,4496060.0
2018-1401,Centro de trabajo con más de 250 trabajadores,Privada,Avda de la Gran Vía de Hortaleza 3 28033 Madrid,Avda,de la Gran Vía de Hortaleza,3,28033,Madrid,444083,4479792.0
2018-1402,Centro de trabajo con más de 250 trabajadores,Privada,Avda de la Gran Vía de Hortaleza 3 28033 Madrid,Avda,de la Gran Vía de Hortaleza,3,28033,Madrid,444083,4479792.0
2018-1403,Centro de trabajo con más de 250 trabajadores,Privada,Avda de la Gran Vía de Hortaleza 3 28033 Madrid,Avda,de la Gran Vía de Hortaleza,3,28033,Madrid,444083,4479792.0
2018-1397,Centro de trabajo con más de 250 trabajadores,Privada,Avda de la Gran Vía de Hortaleza 3 28033 Madrid,Avda,de la Gran Vía de Hortaleza,3,28033,Madrid,444083,4479792.0
2018-1398,Centro de trabajo con más de 250 trabajadores,Privada,Avda de la Gran Vía de Hortaleza 3 28033 Madrid,Avda,de la Gran Vía de Hortaleza,3,28033,Madrid,444083,4479792.0
2018-2683,Instalaciones de transporte,Pública,Avda de la Gran Vía de Hortaleza 47 28043 Madrid,Avda,de la Gran Vía de Hortaleza,47,28043,Madrid,445045,4479921.0
2023-355,Otros,Privada,Avda de la Gran Vía de Hortaleza 30 28043 Madrid,Avda,de la Gran Vía de Hortaleza,30,28043,Madrid,444594,4479771.0
2024-515,Otros,Privada,Avda de la Gran Vía de Hortaleza 7 28033 Madrid,Avda,de la Gran Vía de Hortaleza,7,28033,Madrid,444134,4479827.0
2024-1023,Centro educativo,Pública,Custa Teatinos 10 28806 Alcalá de Henares,Custa,Teatinos,10,28806,Alcalá de Henares,469543,4482609.0
2022-1260,Establecimiento dependiente de una Administración Pública,Pública,Calle de Agustín Calvo 4 28043 Madrid,Calle,de Agustín Calvo,4,28043,Madrid,444782,4479424.0
2017-344,Instalaciones de transporte,Pública,Calle de Agustín de Foxá 46 28036 Madrid,Calle,de Agustín de Foxá,46,28036,Madrid,442188,4480443.0
2018-2839,Instalaciones de transporte,Pública,Calle de Agustín de Foxá 46 28036 Madrid,Calle,de Agustín de Foxá,46,28036,Madrid,442188,4480443.0
2019-2912,Otros,Privada,Calle de Agustín de Foxá 26 28036 Madrid,Calle,de Agustín de Foxá,26,28036,Madrid,441878,4480124.0
2018-2840,Instalaciones de transporte,Pública,Calle de Agustín de Foxá 0 28036 Madrid,Calle,de Agustín de Foxá,0,28036,Madrid,442098,4480495.0
2018-2835,Instalaciones de transporte,Pública,Calle de Agustín de Foxá 0 28036 Madrid,Calle,de Agustín de Foxá,0,28036,Madrid,442098,4480495.0
2024-92,Instalaciones de transporte,Privada,Calle de Agustín de Foxá 0 28036 Madrid,Calle,de Agustín de Foxá,0,28036,Madrid,441645,4479848.0
2018-257,Establecimiento dependiente de una Administración Pública,Pública,Calle de Agustín de Foxá 31 28036 Madrid,Calle,de Agustín de Foxá,31,28036,Madrid,441975,4480330.0
2024-97,Centro de trabajo con más de 250 trabajadores,Privada,Calle de Agustín de Foxá 46 28036 Madrid,Calle,de Agustín de Foxá,46,28036,Madrid,442479,4471544.0
2020-168,Otros,Privada,Calle de Agustín de Foxá 4 28036 Madrid,Calle,de Agustín de Foxá,4,28036,Madrid,441669,4479839.0
2019-977,Otros,Privada,Calle de Agustín de Foxá 4 28036 Madrid,Calle,de Agustín de Foxá,4,28036,Madrid,441668,4479839.0
2019-976,Otros,Privada,Calle de Agustín de Foxá 4 28036 Madrid,Calle,de Agustín de Foxá,4,28036,Madrid,441668,4479839.0
2024-538,Otros,Privada,Calle de Ahijones 1 28018 Madrid,Calle,de Ahijones,1,28018,Madrid,444172,4469962.0
2022-1123,Establecimiento público con aforo igual o superior a 2000 personas,Pública,Calle de la Alameda 15 28014 Madrid,Calle,de la Alameda,15,28014,Madrid,441138,4473553.0
2024-769,Otros,Privada,Calle de la Alameda 22 28014 Madrid,Calle,de la Alameda,22,28014,Madrid,441126,4473586.0
2018-373,Centro educativo,Privada,Paseo de la Alameda de Osuna 60 28042 Madrid,Paseo,de la Alameda de Osuna,60,28042,Madrid,449624,4478465.0
2020-95,Otros,Privada,Paseo de la Alameda de Osuna 48 28042 Madrid,Paseo,de la Alameda de Osuna,48,28042,Madrid,449143,4478308.0
2022-1444,Otros,Privada,Paseo de la Alameda de Osuna 80 28042 Madrid,Paseo,de la Alameda de Osuna,80,28042,Madrid,450270,4478967.0
2023-609,Otros,Privada,Paseo de la Alameda de Osuna 48 28042 Madrid,Paseo,de la Alameda de Osuna,48,28042,Madrid,449230,4478262.0
2019-3,Establecimiento dependiente de una Administración Pública,Pública,Ctra de La Granja 0 28400 Collado Villalba,Ctra,de La Granja,0,28400,Collado Villalba,415202,4498836.0
2020-226,Otros,Privada,Ctra de Alpedrete 0 28400 Collado Villalba,Ctra,de Alpedrete,0,28400,Collado Villalba,415021,4498736.0
2021-616,Establecimiento dependiente de una Administración Pública,Pública,Calle los Madroños 1 28400 Collado Villalba,Calle,los Madroños,1,28400,Collado Villalba,415180,4497915.0
2022-1067,Establecimiento dependiente de una Administración Pública,Pública,Plaza Mayor 6 28450 Collado Mediano,Plaza,Mayor,6,28450,Collado Mediano,413445,4505220.0
2022-1062,Establecimiento dependiente de una Administración Pública,Pública,Plaza Mayor 1 28450 Collado Mediano,Plaza,Mayor,1,28450,Collado Mediano,413449,4505251.0
2022-1060,Establecimiento dependiente de una Administración Pública,Pública,Plaza Mayor 1 28450 Collado Mediano,Plaza,Mayor,1,28450,Collado Mediano,413454,4505249.0
2022-1061,Establecimiento dependiente de una Administración Pública,Pública,Plaza Mayor 6 28450 Collado Mediano,Plaza,Mayor,6,28450,Collado Mediano,413454,4505216.0
2020-330,Centro educativo,Privada,Cmno Valdeavero 2 28815 Fresno de Torote,Cmno,Valdeavero,2,28815,Fresno de Torote,466226,4496909.0
2018-3137,Instalaciones de transporte,Pública,Cmno del Molino 0 28942 Fuenlabrada,Cmno,del Molino,0,28942,Fuenlabrada,430595,4459793.0
2022-479,Centro educativo,Pública,Cmno del Molino 5 28942 Fuenlabrada,Cmno,del Molino,5,28942,Fuenlabrada,430416,4459158.0
2018-2146,Establecimiento dependiente de una Administración Pública,Pública,Plaza España 1 28944 Fuenlabrada,Plaza,España,1,28944,Fuenlabrada,432686,4459419.0
2020-581,Otros,Privada,Calle Olmo 7 28942 Fuenlabrada,Calle,Olmo,7,28942,Fuenlabrada,430694,4461912.0
2024-393,Establecimiento dependiente de una Administración Pública,Pública,Plaza de España 1 28609 Sevilla la Nueva,Plaza,de España,1,28609,Sevilla la Nueva,412765,4466850.0
2024-394,Establecimiento dependiente de una Administración Pública,Pública,Plaza de España 1 28609 Sevilla la Nueva,Plaza,de España,1,28609,Sevilla la Nueva,412709,4466779.0
2024-591,Otros,Privada,Polig la Mora 16 28950 Moraleja de Enmedio,Polig,la Mora,16,28950,Moraleja de Enmedio,428060,4457646.0
2018-3142,Instalaciones de transporte,Pública,Paseo de la Estación 0 28932 Móstoles,Paseo,de la Estación,0,28932,Móstoles,429388,4466926.0
2018-3138,Instalaciones de transporte,Pública,Paseo de la Estación 0 28931 Móstoles,Paseo,de la Estación,0,28931,Móstoles,429388,4466926.0
2023-1022,Instalaciones de transporte,Pública,Paseo de la Estación 0 28933 Móstoles,Paseo,de la Estación,0,28933,Móstoles,426651,4464595.0
2018-2126,Centro de trabajo con más de 250 trabajadores,Privada,Calle Regordoño 24 28936 Móstoles,Calle,Regordoño,24,28936,Móstoles,428235,4463675.0
2022-1003,Otros,Privada,Calle Regordoño 4 28936 Móstoles,Calle,Regordoño,4,28936,Móstoles,448296,4463187.0
2023-19,Otros,Privada,Calle Regordoño 67 28936 Móstoles,Calle,Regordoño,67,28936,Móstoles,428149,4464009.0
2023-892,Otros,Privada,Calle Hierbabuena 10 28440 Guadarrama,Calle,Hierbabuena,10,28440,Guadarrama,408953,4501746.0
2018-1706,Centro educativo,Privada,Calle de Ángel Muñoz 5 28043 Madrid,Calle,de Ángel Muñoz,5,28043,Madrid,444316,4478375.0
2022-477,Otros,Pública,Calle del Norte 11 28944 Fuenlabrada,Calle,del Norte,11,28944,Fuenlabrada,432357,4459399.0
2019-52,Instalaciones de transporte,Pública,Calle de Alberique 4 28037 Madrid,Calle,de Alberique,4,28037,Madrid,447158,4475402.0
2019-51,Instalaciones de transporte,Pública,Calle de Alberique 4 28037 Madrid,Calle,de Alberique,4,28037,Madrid,447158,4475402.0
2018-448,Otros,Privada,Calle de Alberto Palacios 18 28021 Madrid,Calle,de Alberto Palacios,18,28021,Madrid,439614,4466439.0
2017-285,Centro educativo,Privada,Calle de Alcalá 589 28022 Madrid,Calle,de Alcalá,589,28022,Madrid,447938,4477440.0
2018-437,Establecimiento dependiente de una Administración Pública,Pública,Calle de Alcalá 47 28014 Madrid,Calle,de Alcalá,47,28014,Madrid,440979,4474519.0
2018-1336,Instalaciones de transporte,Privada,Calle de Alcalá 478 28027 Madrid,Calle,de Alcalá,478,28027,Madrid,440966,4474516.0
2018-1735,"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,Calle de Alcalá 184 28028 Madrid,Calle,de Alcalá,184,28028,Madrid,443559,4475645.0
2018-1745,Centro de trabajo con más de 250 trabajadores,Privada,Calle de Alcalá 518 28027 Madrid,Calle,de Alcalá,518,28027,Madrid,447079,4476949.0
2018-2814,Instalaciones de transporte,Pública,Calle de Alcalá 233 28028 Madrid,Calle,de Alcalá,233,28028,Madrid,443733,4475828.0
2018-2815,Instalaciones de transporte,Pública,Calle de Alcalá 51 28014 Madrid,Calle,de Alcalá,51,28014,Madrid,441110,4474534.0
2018-2989,Establecimiento hotelero con más de 100 plazas,Privada,Calle de Alcalá 19 28014 Madrid,Calle,de Alcalá,19,28014,Madrid,440627,4474383.0
2018-2997,Instalaciones de transporte,Pública,Calle de Alcalá 258 28027 Madrid,Calle,de Alcalá,258,28027,Madrid,445394,4475912.0
2018-3004,Instalaciones de transporte,Pública,Calle de Alcalá 306 28027 Madrid,Calle,de Alcalá,306,28027,Madrid,444941,4476007.0
2019-957,Centro de trabajo con más de 250 trabajadores,Privada,Calle de Alcalá 550 28027 Madrid,Calle,de Alcalá,550,28027,Madrid,447750,4477186.0
2019-493,Establecimiento hotelero con más de 100 plazas,Privada,Calle de Alcalá 476 28027 Madrid,Calle,de Alcalá,476,28027,Madrid,446429,4476709.0
2019-2697,Centro educativo,Privada,Calle de Alcalá 472 28027 Madrid,Calle,de Alcalá,472,28027,Madrid,446349,4476699.0
2019-2424,Establecimiento dependiente de una Administración Pública,Pública,Calle de Alcalá 4 28014 Madrid,Calle,de Alcalá,4,28014,Madrid,440419,4474327.0
2019-71,Centro de trabajo con más de 250 trabajadores,Privada,Calle de Alcalá 506 28027 Madrid,Calle,de Alcalá,506,28027,Madrid,446810,4476841.0
2019-2091,Instalaciones de transporte,Pública,Calle de Alcalá 18 28014 Madrid,Calle,de Alcalá,18,28014,Madrid,440658,4474356.0
2018-3076,Instalaciones de transporte,Pública,Calle de Alcalá 550 28027 Madrid,Calle,de Alcalá,550,28027,Madrid,447668,4477190.0
2018-1365,Centro de trabajo con más de 250 trabajadores,Privada,Calle de Alcalá 265 28027 Madrid,Calle,de Alcalá,265,28027,Madrid,444252,4475920.0
2018-2605,Centro educativo,Pública,Calle de Alcalá 62 28009 Madrid,Calle,de Alcalá,62,28009,Madrid,442164,4474783.0
2018-3069,Instalaciones de transporte,Pública,Calle de Alcalá 373 28027 Madrid,Calle,de Alcalá,373,28027,Madrid,445392,4476266.0
2020-798,Centro de trabajo con más de 250 trabajadores,Privada,Calle de Alcalá 40 28014 Madrid,Calle,de Alcalá,40,28014,Madrid,440878,4474422.0
2020-719,Establecimiento dependiente de una Administración Pública,Pública,Calle de Alcalá 31 28014 Madrid,Calle,de Alcalá,31,28014,Madrid,440759,4474440.0
2018-2967,Instalaciones de transporte,Pública,Calle de Alcalá 640 28022 Madrid,Calle,de Alcalá,640,28022,Madrid,448432,4477780.0
2021-24,Otros,Privada,Calle de Alcalá 44 28014 Madrid,Calle,de Alcalá,44,28014,Madrid,440954,4474447.0
2018-3071,Instalaciones de transporte,Pública,Calle de Alcalá 373 28027 Madrid,Calle,de Alcalá,373,28027,Madrid,445392,4476266.0
2020-336,Establecimiento dependiente de una Administración Pública,Pública,Calle de Alcalá 526 28027 Madrid,Calle,de Alcalá,526,28027,Madrid,447351,4477039.0
2021-23,Otros,Privada,Calle de Alcalá 44 28014 Madrid,Calle,de Alcalá,44,28014,Madrid,440954,4474447.0
2021-829,Otros,Privada,Calle de Alcalá 265 28027 Madrid,Calle,de Alcalá,265,28027,Madrid,444222,4476002.0
2022-296,Otros,Privada,Calle de Alcalá 66 28009 Madrid,Calle,de Alcalá,66,28009,Madrid,442219,4474838.0
2021-890,Establecimiento dependiente de una Administración Pública,Pública,Calle de Alcalá 37 28014 Madrid,Calle,de Alcalá,37,28014,Madrid,440796,4474471.0
2021-914,Otros,Privada,Calle de Alcalá 21 28014 Madrid,Calle,de Alcalá,21,28014,Madrid,440644,4474390.0
2021-913,Otros,Privada,Calle de Alcalá 21 28014 Madrid,Calle,de Alcalá,21,28014,Madrid,440644,4474390.0
2021-408,Instalaciones de transporte,Pública,Calle de Alcalá 123 28009 Madrid,Calle,de Alcalá,123,28009,Madrid,442101,4474752.0
2022-1200,Otros,Privada,Calle de Alcalá 8 28014 Madrid,Calle,de Alcalá,8,28014,Madrid,440507,4474296.0
2023-40,Establecimiento público con aforo igual o superior a 2000 personas,Privada,Calle de Alcalá 237 28028 Madrid,Calle,de Alcalá,237,28028,Madrid,443709,4475919.0
2022-1245,Otros,Privada,Calle de Alcalá 265 28037 Madrid,Calle,de Alcalá,265,28037,Madrid,444253,4475919.0
2023-372,Centro de trabajo con más de 250 trabajadores,Privada,Calle de Alcalá 27 28013 Madrid,Calle,de Alcalá,27,28013,Madrid,440729,4474429.0
2023-212,"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,Calle de Alcalá 546 28027 Madrid,Calle,de Alcalá,546,28027,Madrid,447595,4477120.0
2023-816,Otros,Privada,Calle de Alcalá 33 28014 Madrid,Calle,de Alcalá,33,28014,Madrid,440770,4474442.0
2023-836,Otros,Privada,Calle de Alcalá 728 28022 Madrid,Calle,de Alcalá,728,28022,Madrid,449749,4477773.0
2023-811,Establecimiento hotelero con más de 100 plazas,Privada,Calle de Alcalá 611 28022 Madrid,Calle,de Alcalá,611,28022,Madrid,448137,4477579.0
2023-847,Otros,Privada,Calle de Alcalá 87 28009 Madrid,Calle,de Alcalá,87,28009,Madrid,441855,4474702.0
2024-367,Establecimiento dependiente de una Administración Pública,Pública,Calle de Alcalá 526 28027 Madrid,Calle,de Alcalá,526,28027,Madrid,447351,4477039.0
2024-381,Centro de trabajo con más de 250 trabajadores,Privada,Calle de Alcalá 546 28027 Madrid,Calle,de Alcalá,546,28027,Madrid,447595,4477120.0
2023-682,Centro educativo,Privada,Calle de Alcalá 339 28027 Madrid,Calle,de Alcalá,339,28027,Madrid,445049,4476076.0
2024-499,Otros,Privada,Calle de Alcalá 42 28014 Madrid,Calle,de Alcalá,42,28014,Madrid,440905,4474429.0
2024-1025,Establecimiento hotelero con más de 100 plazas,Privada,Calle de Alcalá 269 28027 Madrid,Calle,de Alcalá,269,28027,Madrid,444307,4475929.0
2024-500,Otros,Privada,Calle de Alcalá 42 28014 Madrid,Calle,de Alcalá,42,28014,Madrid,440905,4474429.0
2024-501,Otros,Privada,Calle de Alcalá 42 28014 Madrid,Calle,de Alcalá,42,28014,Madrid,440905,4474429.0
2024-832,Establecimiento dependiente de una Administración Pública,Pública,Calle de Alcalá Galiano 4 28010 Madrid,Calle,de Alcalá Galiano,4,28010,Madrid,441312,4475351.0
2019-483,Otros,Privada,Calle del Alcalde Sáinz de Baranda 26 28009 Madrid,Calle,del Alcalde Sáinz de Baranda,26,28009,Madrid,442712,4474230.0
2021-536,Establecimiento dependiente de una Administración Pública,Pública,Calle del Alcalde Sáinz de Baranda 92 28007 Madrid,Calle,del Alcalde Sáinz de Baranda,92,28007,Madrid,443782,4474682.0
2022-319,Establecimiento dependiente de una Administración Pública,Pública,Calle del Alcalde Sáinz de Baranda 94 28007 Madrid,Calle,del Alcalde Sáinz de Baranda,94,28007,Madrid,443943,4474708.0
2018-1022,Establecimiento dependiente de una Administración Pública,Pública,Calle de Alfacar 30 28033 Madrid,Calle,de Alfacar,30,28033,Madrid,445107,4489050.0
2019-487,Centro educativo,Pública,Calle Isla de Sálvora 153 28400 Collado Villalba,Calle,Isla de Sálvora,153,28400,Collado Villalba,413867,4497179.0
2024-975,Otros,Privada,Calle de la Bañeza 39 28947 Fuenlabrada,Calle,de la Bañeza,39,28947,Fuenlabrada,436146,4457082.0
2019-2712,Centro de trabajo con más de 250 trabajadores,Privada,Calle Uranio 18 28946 Fuenlabrada,Calle,Uranio,18,28946,Fuenlabrada,435317,4457546.0
2020-680,Grandes establecimientos comerciales con una superficie superior a 2500 m2,Privada,Calle de Alfonso Gómez 8 28037 Madrid,Calle,de Alfonso Gómez,8,28037,Madrid,446675,4476575.0
2024-929,Centro educativo,Privada,Calle de Alfonso Rodríguez Santamaría 23 28002 Madrid,Calle,de Alfonso Rodríguez Santamaría,23,28002,Madrid,441896,4477926.0
2018-1300,Centro educativo,Privada,Calle de Alfonso XI 6 28014 Madrid,Calle,de Alfonso XI,6,28014,Madrid,441406,4474456.0
2018-1886,Otros,Privada,Calle de Alfonso XI 12 28014 Madrid,Calle,de Alfonso XI,12,28014,Madrid,441409,4474326.0
2017-172,Centro de trabajo con más de 250 trabajadores,Privada,Calle de Alfonso XII 62 28014 Madrid,Calle,de Alfonso XII,62,28014,Madrid,441546,4473318.0
2018-1431,Establecimiento dependiente de una Administración Pública,Pública,Calle de Alfonso XII 68 28014 Madrid,Calle,de Alfonso XII,68,28014,Madrid,441548,4473260.0
2019-2544,Establecimiento dependiente de una Administración Pública,Pública,Calle de Alfonso XII 68 28014 Madrid,Calle,de Alfonso XII,68,28014,Madrid,441549,4473259.0
2020-765,Establecimiento dependiente de una Administración Pública,Pública,Calle de Alfonso XII 28 28014 Madrid,Calle,de Alfonso XII,28,28014,Madrid,441527,4474074.0
2022-201,Centro educativo,Privada,Calle de Alfonso XII 3 28014 Madrid,Calle,de Alfonso XII,3,28014,Madrid,441586,4473436.0
2022-202,Centro educativo,Privada,Calle de Alfonso XII 3 28014 Madrid,Calle,de Alfonso XII,3,28014,Madrid,441586,4473436.0
2023-358,Otros,Privada,Calle de Alfonso XII 26 28014 Madrid,Calle,de Alfonso XII,26,28014,Madrid,441511,4474138.0
2023-840,Establecimiento hotelero con más de 100 plazas,Privada,Calle de Alfonso XII 14 28014 Madrid,Calle,de Alfonso XII,14,28014,Madrid,441534,4474352.0
2024-372,Otros,Privada,Calle de Alfonso XII 30 28014 Madrid,Calle,de Alfonso XII,30,28014,Madrid,441530,4474036.0
2018-2304,Centro educativo,Pública,Avda de Alfonso XIII 160 28016 Madrid,Avda,de Alfonso XIII,160,28016,Madrid,442935,4479085.0
2018-2336,Centro educativo,Privada,Avda de Alfonso XIII 165 28016 Madrid,Avda,de Alfonso XIII,165,28016,Madrid,442392,4479028.0
2019-872,Centro educativo,Privada,Avda de Alfonso XIII 162 28016 Madrid,Avda,de Alfonso XIII,162,28016,Madrid,442846,4479086.0
2019-433,Centro educativo,Privada,Avda de Alfonso XIII 155 28016 Madrid,Avda,de Alfonso XIII,155,28016,Madrid,442511,4479046.0
2024-559,Establecimiento hotelero con más de 100 plazas,Privada,Avda de Alfonso XIII 97 28016 Madrid,Avda,de Alfonso XIII,97,28016,Madrid,443416,4478704.0
2024-826,Otros,Privada,Avda de Alfonso XIII 131 28016 Madrid,Avda,de Alfonso XIII,131,28016,Madrid,442969,4479030.0
2020-192,Otros,Privada,Calle de Alfredo Aleix 3 28044 Madrid,Calle,de Alfredo Aleix,3,28044,Madrid,435986,4468946.0
2019-1928,Centro educativo,Privada,Calle de Almagro 5 28010 Madrid,Calle,de Almagro,5,28010,Madrid,441026,4475587.0
2019-1922,Centro de trabajo con más de 250 trabajadores,Privada,Calle de Almagro 9 28010 Madrid,Calle,de Almagro,9,28010,Madrid,441155,4475686.0
2018-2095,Otros,Privada,Calle de Almagro 18 28010 Madrid,Calle,de Almagro,18,28010,Madrid,441129,4475607.0
2020-270,Otros,Privada,Calle de Almagro 42 28010 Madrid,Calle,de Almagro,42,28010,Madrid,441346,4475943.0
