codigo_dea,tipo_establecimiento,tipo_titularidad,direccion_completa,direccion_via_codigo,direccion_via_nombre,direccion_portal_numero,direccion_codigo_postal,municipio_nombre,direccion_coordenada_x,direccion_coordenada_y
2020-451,Centro educativo,Privada,Ctra Majadahonda (M-515) 1.8 28223 Pozuelo de Alarcón,Ctra,Majadahonda (M-515),1.8,28223,Pozuelo de Alarcón,429144,4476882.0
2023-196,Centro educativo,Privada,Ctra Majadahonda (M-515) 1800 28223 Pozuelo de Alarcón,Ctra,Majadahonda (M-515),1800,28223,Pozuelo de Alarcón,429199,4477185.0
2018-3146,Instalaciones de transporte,Pública,Calle del Río Sella 0 28934 Móstoles,Calle,del Río Sella,0,28934,Móstoles,425684,4463238.0
2019-480,Otros,Privada,Avda de Carlos V 5 28936 Móstoles,Avda,de Carlos V,5,28936,Móstoles,428705,4463848.0
2018-2076,Establecimiento dependiente de una Administración Pública,Pública,Calle del Pintor Velázquez 68 28935 Móstoles,Calle,del Pintor Velázquez,68,28935,Móstoles,425290,4463629.0
2019-764,Establecimiento dependiente de una Administración Pública,Pública,Calle del Pintor Velázquez 57 28935 Móstoles,Calle,del Pintor Velázquez,57,28935,Móstoles,425140,4463855.0
2019-765,Establecimiento dependiente de una Administración Pública,Pública,Calle del Pintor Velázquez 57 28935 Móstoles,Calle,del Pintor Velázquez,57,28935,Móstoles,425140,4463855.0
2019-2764,Centro educativo,Pública,Calle del Pintor Velázquez 13 28933 Móstoles,Calle,del Pintor Velázquez,13,28933,Móstoles,426114,4464836.0
2020-705,Establecimiento dependiente de una Administración Pública,Pública,"Cmno Real 18 28232 Rozas de Madrid, Las",Cmno,Real,18,28232,"Rozas de Madrid, Las",426044,4482710.0
2024-590,Centro educativo,Pública,"Cmno Real 3 28232 Rozas de Madrid, Las",Cmno,Real,3,28232,"Rozas de Madrid, Las",420288,4487761.0
2020-586,Centro educativo,Privada,"Calle Sacre 2 28232 Rozas de Madrid, Las",Calle,Sacre,2,28232,"Rozas de Madrid, Las",420171,4487817.0
2018-271,Establecimiento dependiente de una Administración Pública,Pública,Calle de las Acacias 12 28522 Rivas-Vaciamadrid,Calle,de las Acacias,12,28522,Rivas-Vaciamadrid,454686,4467899.0
2023-645,Establecimiento dependiente de una Administración Pública,Pública,Calle de las Acacias 69 28522 Rivas-Vaciamadrid,Calle,de las Acacias,69,28522,Rivas-Vaciamadrid,454627,4467913.0
2023-635,Establecimiento dependiente de una Administración Pública,Pública,Calle de las Acacias 122 28522 Rivas-Vaciamadrid,Calle,de las Acacias,122,28522,Rivas-Vaciamadrid,454719,4467920.0
2023-968,Establecimiento hotelero con más de 100 plazas,Privada,Avda del Cerro del Águila 15 28703 San Sebastián de los Reyes,Avda,del Cerro del Águila,15,28703,San Sebastián de los Reyes,448071,4488652.0
2018-2816,Instalaciones de transporte,Pública,Gta de Quevedo 2 28015 Madrid,Gta,de Quevedo,2,28015,Madrid,440229,4476099.0
2020-126,Otros,Privada,Avda Quinta 5 28022 Madrid,Avda,Quinta,5,28022,Madrid,449427,4477606.0
2021-108,Centro de trabajo con más de 250 trabajadores,Privada,Calle de Quintanadueñas 6 28050 Madrid,Calle,de Quintanadueñas,6,28050,Madrid,443095,4483149.0
2023-121,Otros,Privada,Calle de Quintanadueñas 6 28050 Madrid,Calle,de Quintanadueñas,6,28050,Madrid,443107,4483173.0
2018-1119,Centro de trabajo con más de 250 trabajadores,Privada,Calle de Quintanavides 2 28050 Madrid,Calle,de Quintanavides,2,28050,Madrid,443485,4483112.0
2018-2103,Otros,Privada,Calle de Quintanavides 13 28050 Madrid,Calle,de Quintanavides,13,28050,Madrid,443013,4476222.0
2019-179,Otros,Privada,Calle de Quintanavides 19 28050 Madrid,Calle,de Quintanavides,19,28050,Madrid,443212,4483282.0
2021-938,Centro de trabajo con más de 250 trabajadores,Privada,Calle de Quintanavides 19 28050 Madrid,Calle,de Quintanavides,19,28050,Madrid,443197,4483256.0
2021-939,Establecimiento hotelero con más de 100 plazas,Privada,Calle de Quintanavides 19 28050 Madrid,Calle,de Quintanavides,19,28050,Madrid,443197,4483256.0
2024-750,"Instalación, centro o complejo deportivo con más de 500 usuarios diarios",Privada,Ctra de la Venta de la Rubia 568 28024 Madrid,Ctra,de la Venta de la Rubia,568,28024,Madrid,431162,4470032.0
2019-15,Instalaciones de transporte,Pública,Avda del Ventisquero de la Condesa 28 28034 Madrid,Avda,del Ventisquero de la Condesa,28,28034,Madrid,439294,4482502.0
2018-2853,Instalaciones de transporte,Pública,Avda del Ventisquero de la Condesa 41 28035 Madrid,Avda,del Ventisquero de la Condesa,41,28035,Madrid,439261,4487712.0
2019-2856,Instalaciones de transporte,Pública,Avda del Ventisquero de la Condesa 28 28034 Madrid,Avda,del Ventisquero de la Condesa,28,28034,Madrid,439864,4483463.0
2024-956,Centros residenciales de mayores con 200 plazas,Privada,Avda del Ventisquero de la Condesa 46 28035 Madrid,Avda,del Ventisquero de la Condesa,46,28035,Madrid,439183,4482891.0
2018-2018,Otros,Pública,Avda de Marcial Llorente 8 28696 Pelayos de la Presa,Avda,de Marcial Llorente,8,28696,Pelayos de la Presa,388421,4469021.0
2024-55,Centro educativo,Privada,Calle Posada de Castilla I 107 28514 Nuevo Baztán,Calle,Posada de Castilla I,107,28514,Nuevo Baztán,476896,4467084.0
2024-836,Otros,Pública,Plaza de la Iglesia 7 28514 Nuevo Baztán,Plaza,de la Iglesia,7,28514,Nuevo Baztán,479360,4468350.0
2024-837,Establecimiento dependiente de una Administración Pública,Pública,Plaza de la Iglesia 1 28514 Nuevo Baztán,Plaza,de la Iglesia,1,28514,Nuevo Baztán,479296,4468425.0
2018-2075,Establecimiento dependiente de una Administración Pública,Pública,Calle de los Cedros 71 28935 Móstoles,Calle,de los Cedros,71,28935,Móstoles,421035,4462081.0
2018-1889,Centro educativo,Privada,"Calle Playa del Sardinero 1 28290 Rozas de Madrid, Las",Calle,Playa del Sardinero,1,28290,"Rozas de Madrid, Las",423782,4487741.0
2023-142,Centro de trabajo con más de 250 trabajadores,Privada,"Calle Playa del Sardinero 47 28290 Rozas de Madrid, Las",Calle,Playa del Sardinero,47,28290,"Rozas de Madrid, Las",423738,4488091.0
2018-1505,Establecimiento dependiente de una Administración Pública,Pública,Avda de la Pedriza 36 28410 Manzanares el Real,Avda,de la Pedriza,36,28410,Manzanares el Real,426649,4508819.0
2018-1507,Establecimiento dependiente de una Administración Pública,Pública,Avda de la Pedriza 50 28410 Manzanares el Real,Avda,de la Pedriza,50,28410,Manzanares el Real,426524,4508864.0
2023-133,Centros residenciales de mayores con 200 plazas,Privada,Calle Roble 11 28880 Meco,Calle,Roble,11,28880,Meco,472305,4488687.0
2018-1960,Otros,Privada,Calle Alameda 52 28880 Meco,Calle,Alameda,52,28880,Meco,449474,4478449.0
