tipo_establecimiento;tipo_titularidad;municipio_codigo;municipio_nombre;direccion_via_codigo;direccion_via_nombre;direccion_portal_numero;direccion_piso;direccion_puerta;direccion_codigo_postal;direccion_ubicacion;direccion_coordenada_x;direccion_coordenada_y;direccion_longitud;direccion_latitud;horario_acceso;codigo_dea
Centro educativo;Pública;161;Valdemoro;CALLE;Fuentecilla;18;18;;28341;CEIP NUESTRA SEÑORA DEL ROSARIO ;441777;4448658;-3,68394951616744;40,1862885167031;;2018-1785
Otros;Pública;177;Villanueva del Pardillo;CALLE;los Cerezos;0;;;28229;AVD. LAS VEGAS CALLE CEREZO , EXTERIOR JUNTO ROTONDA ;420315;4482463;-3,94025544271449;40,4890423981704;;2021-620
Centros residenciales de mayores con 200 plazas;Pública;177;Villanueva del Pardillo;CMNO;del Caño;3;;;28229;CENTRO DE MAYORES ;418259;4482485;-3,96451514713445;40,48904066677;;2021-628
Centro educativo;Pública;177;Villanueva del Pardillo;CALLE;Colmenarejo;40;;;28229;C/ COLMENAREJO 40, 28260, GALAPAGAR CEIP CARLOS RUIZ - HALL ENTRADA;414834;4492097;-4,00621753659323;40,5752772275838;;2019-2323
Centro educativo;Pública;177;Villanueva del Pardillo;CALLE;Colmenarejo;17;;;28229;PABELLÓN CEIP SAN LUCAS ;418175;4482660;-3,96552877783485;40,4906087485801;;2021-725
Centro educativo;Pública;079;Madrid;CALLE;de Maqueda;8;;;28024;ESCUELA POLITÉCNICA GINER CENTRO ESPAÑOL DE TECNOLOGÍA APLICACA;435023;4471800;-3,76563192135863;40,3942684181198;;2017-173
Centro educativo;Privada;079;Madrid;CALLE;de Maqueda;2;;;28024;EN LA ENTRADA, EN SECRETARÍA COLEGIO ARCANGEL RAFAEL;435042;4471838;-3,76541193723264;40,3946122186708;;2018-372
Instalación, centro o complejo deportivo con más de 500 usuarios diarios;Privada;079;Madrid;CALLE;de Maqueda;30;;;28024;EN RECEPCIÓN HOLIDAY GYM;435053;4471716;-3,76526989073616;40,3935140538727;;2018-738
Centro educativo;Privada;079;Madrid;CALLE;del Mar de Coral;3;;;28033;PASILLO ENTRADA ;445680;4480738;-3,64083134058733;40,4755501536753;;2019-397
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;del Mar de las Antillas;8;1ª;;28033;Centro Cultural Huerta de la Salud. BIBLIOTECA Sala de Prensa;445205;4480702;-3,6464316282745;40,4751946444204;;2019-621
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;del Mar de las Antillas;8;;;28033;CENTRO CULTURAL HUERTA DE LA SALUD SALA EXPOSICIONES - ENTRADA;445204;4480697;-3,646442992844;40,4751495360113;;2019-653
Establecimiento dependiente de una Administración Pública;Pública;079;Madrid;CALLE;del Mar de las Antillas;10;;;28033;CMM HUERTA DE LA SALUD SALÓN DE JUEGOS - CAFETERÍA;467329;4459275;-3,38433770426448;40,2833237026702;;2019-566
Centro educativo;Privada;079;Madrid;CALLE;de Marcenado;50;;;28002;ENTRADA PRINCIPAL ;442879;4477931;-3,67362091321141;40,4500754919591;;2019-168
Otros;Privada;079;Madrid;CALLE;de María de Molina;54;;;28006;EN EL HALL DE LA ENTRADA HNA;442334;4476522;-3,67991969453058;40,4373449222096;24 H;2017-424
