ID,DISTRITO,COD-BARRIO,COD-DISTRITO,BARRIO,VIA,NUMERO,L-B,PLAZAS
C-85,CENTRO,01-02,01,EMBAJADORES,CALLE  DE EMBAJADORES,45,Línea,1
C-86,CENTRO,01-01,01,PALACIO,CALLE  DE LA ENCARNACION,4,Línea,1
C-87,CENTRO,01-01,01,PALACIO,CALLE  DE LA ESCALINATA,15,Línea,1
C-88,CENTRO,01-02,01,EMBAJADORES,CALLE  DE LA ESCUADRA,12,Línea,1
C-89,CENTRO,01-06,01,SOL,CALLE  DE ESPARTEROS,13,Línea,2
C-90,CENTRO,01-02,01,EMBAJADORES,CALLE  DE ESPERANZA,6,Línea,1
C-91,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL ESPIRITU SANTO,28,Línea,1
C-92,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL ESPIRITU SANTO,40,Línea,1
C-93,CENTRO,01-03,01,CORTES,CALLE  DE ESPOZ Y MINA,40,Línea,2
C-94,CENTRO,01-02,01,EMBAJADORES,CALLE  DE LOS ESTUDIOS,2,Línea,1
C-95,CENTRO,01-01,01,PALACIO,CALLE  DE LA FLOR BAJA,6,Línea,1
C-96,CENTRO,01-04,01,JUSTICIA,CALLE  DE FUENCARRAL,100,Línea,1
C-97,CENTRO,01-06,01,SOL,CALLE  DE LAS FUENTES,10,Línea,1
C-98,CENTRO,01-04,01,JUSTICIA,CALLE  DEL GENERAL CASTAÑOS,11,Línea,1
C-99,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL GENERAL MITRE,4,Línea,1
C-100,CENTRO,01-02,01,EMBAJADORES,PLAZA  DEL GENERAL VARA DE REY,3,Batería,1
C-101,CENTRO,01-01,01,PALACIO,AVENIDA  DE LA GRAN VIA DE SAN FRANCISCO,5,Línea,1
C-102,CENTRO,01-06,01,SOL,CALLE  DE LAS HILERAS,8,Línea,1
C-103,CENTRO,01-04,01,JUSTICIA,CALLE  DE HORTALEZA,23,Línea,1
C-104,CENTRO,01-04,01,JUSTICIA,CALLE  DE HORTALEZA,43,Línea,1
C-105,CENTRO,01-04,01,JUSTICIA,CALLE  DE HORTALEZA,57,Línea,1
C-106,CENTRO,01-04,01,JUSTICIA,CALLE  DE HORTALEZA,61,Línea,1
C-107,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE JESUS DEL VALLE,26,Línea,1
C-108,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE JESUS DEL VALLE,32,Línea,1
C-109,CENTRO,01-03,01,CORTES,PLAZA  DE JESUS,5,Línea,1
C-110,CENTRO,01-03,01,CORTES,CALLE  DE JOVELLANOS,4,Línea,1
C-111,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE JUAN DE DIOS,4,Línea,1
C-112,CENTRO,01-01,01,PALACIO,CALLE  DE JUAN DE HERRERA,1,Línea,1
C-113,CENTRO,01-02,01,EMBAJADORES,CALLE  DE JUANELO,18,Línea,1
C-114,CENTRO,01-02,01,EMBAJADORES,CALLE  DE LAVAPIES,18,Línea,1
C-115,CENTRO,01-01,01,PALACIO,CALLE  DE LEGANITOS,43,Línea,1
C-116,CENTRO,01-03,01,CORTES,CALLE  DEL LEON,28,Línea,1
C-117,CENTRO,01-04,01,JUSTICIA,CALLE  DE LA LIBERTAD,30,Línea,1
C-118,CENTRO,01-03,01,CORTES,CALLE  DE LOPE DE VEGA,13,Línea,1
C-119,CENTRO,01-03,01,CORTES,CALLE  DE LOPE DE VEGA,37,Línea,2
C-120,CENTRO,01-02,01,EMBAJADORES,CALLE  DE LOPEZ SILVA,2,Línea,1
C-121,CENTRO,01-03,01,CORTES,CALLE  DE LOS MADRAZO,19,Línea,1
C-122,CENTRO,01-03,01,CORTES,CALLE  DEL MARQUES DE CASA RIERA,4,Línea,1
C-123,CENTRO,01-03,01,CORTES,CALLE  DEL MARQUES DE CUBAS,27,Línea,1
C-124,CENTRO,01-04,01,JUSTICIA,CALLE  DEL MARQUES DE LA ENSENADA,3,Línea,1
C-125,CENTRO,01-04,01,JUSTICIA,CALLE  DEL MARQUES DE MONASTERIO,3,Batería,1
C-126,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL MARQUES DE SANTA ANA,20,Línea,1
C-127,CENTRO,01-06,01,SOL,CALLE MAYOR,11,Línea,2
C-128,CENTRO,01-01,01,PALACIO,CALLE MAYOR,81,Batería,2
C-129,CENTRO,01-02,01,EMBAJADORES,CALLE  DEL MESON DE PAREDES,73,Línea,1
C-130,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE LAS MINAS,24,Línea,1
C-131,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL MOLINO DE VIENTO,21,Línea,1
C-132,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE MONTELEON,14,Línea,1
C-133,CENTRO,01-01,01,PALACIO,CALLE  DE LA MORERIA,1,Línea,1
C-134,CENTRO,01-01,01,PALACIO,CALLE  DE LA MORERIA,17,Línea,1
C-135,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL NORTE,12,Línea,1
C-136,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL NOVICIADO,5 A,Línea,1
C-137,CENTRO,01-02,01,EMBAJADORES,CALLE  DEL OLIVAR,4,Línea,1
C-138,CENTRO,01-04,01,JUSTICIA,CALLE  DE PELAYO,68,Línea,1
C-139,CENTRO,01-04,01,JUSTICIA,CALLE  DE PELAYO,84,Línea,1
C-140,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL PEZ,14,Línea,1
C-141,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL PEZ,19,Línea,1
C-142,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DEL PEZ,20,Línea,1
C-143,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE PONCIANO,6,Línea,1
C-144,CENTRO,01-03,01,CORTES,CALLE  DEL PRADO,24,Línea,2
C-145,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE LA PUEBLA,13,Línea,1
C-146,CENTRO,01-01,01,PALACIO,PLAZA  DE LA PUERTA DE MOROS,4,Línea,1
C-147,CENTRO,01-03,01,CORTES,CALLE  DE QUEVEDO,1,Línea,1
C-148,CENTRO,01-01,01,PALACIO,CALLE  DE LA REDONDILLA,7,Línea,1
C-149,CENTRO,01-05,01,UNIVERSIDAD,CALLE  DE LOS REYES,7,Línea,1
