ID,DISTRITO,same_as_wikidata_distrito,COD-BARRIO,COD-DISTRITO,BARRIO,same_as_wikidata_barrio,VIA,NUMERO,L-B,PLAZAS
C-71,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL DESENGAÑO,13,Línea,"1"
C-72,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL DESENGAÑO,13,Línea,"1"
C-73,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL DIVINO PASTOR,12,Línea,"1"
C-74,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL DIVINO PASTOR,26,Línea,"1"
C-75,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL DIVINO PASTOR,Fte 5,Línea,"1"
C-76,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DEL DOCTOR FOURQUET,35,Línea,"1"
C-77,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DEL DOCTOR PIGA,7,Línea,"2"
C-78,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DEL DOCTOR PIGA,11,Línea,"1"
C-79,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CALLE  DE DON PEDRO,15,Línea,"1"
C-80,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL DOS DE MAYO,2,Línea,"1"
C-81,Centro,https://wikidata.org/entity/Q1763376,01-05,01,Universidad,https://wikidata.org/entity/Q10387767,CALLE  DEL DOS DE MAYO,8,Línea,"2"
C-82,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DEL DUQUE DE RIVAS,2,Línea,"1"
C-83,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DE EMBAJADORES,12,Línea,"2"
C-84,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DE EMBAJADORES,31,Línea,"3"
C-85,Centro,https://wikidata.org/entity/Q1763376,01-02,01,Embajadores,https://wikidata.org/entity/Q2449844,CALLE  DE EMBAJADORES,45,Línea,"1"
C-86,Centro,https://wikidata.org/entity/Q1763376,01-01,01,Palacio,https://wikidata.org/entity/Q2136510,CALLE  DE LA ENCARNACION,4,Línea,"1"
